OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,Shape,Shape_Length
32,96200010,Y,12786,SENECA ST OFF RP,245,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",2013,12786,9300,311465,Y,Y,"(47.605155453000066, -122.33924210299995)",568.309333198742252
33,87750010,N,11941,MYERS WAY S,166,"MYERS WAY S, S/O OLSON PL SW",2013,11941,5600,313138,Y,Y,"(47.522322333000034, -122.33484135399999)",2781.794818471146755
34,61150170,N,9833,CORSON AVE S,104,"CORSON AVE S, S/O S MICHIGAN ST",2013,9833,6700,313084,Y,Y,"(47.54750295400004, -122.32143892899995)",2609.231230464485179
35,104200130,Y,13507,WESTERN AVE,8,"WESTERN & ELLIOTT AVE, NW/O LENORA ST",2013,13507,4100,313266,Y, ,"(47.61117277100004, -122.34477198499997)",4123.168891879808143
36,91650050,N,12231,PINEHURST WAY NE,210,"PINEHURST WAY NE, NE/O NE 115TH ST",2013,12231,9300,313221,Y,Y,"(47.708560987000055, -122.31785220999996)",2635.549253484183737
37,71050670,N,10775,GREENWOOD AVE N,137,"GREENWOOD AVE N, N/O N 107TH ST",2013,10775,25100,311594,Y,Y,"(47.70508354100008, -122.35545274599997)",5295.660582685643021
38,5550680,N,2096,15TH AVE NE,17,"15TH AVE NE, S/O NE 145TH ST",2013,2096,15600,313023,Y,Y,"(47.71447200800003, -122.31250490699995)",7106.190727112158129
39,27200240,N,5462,35TH AVE SW,52,"35TH AVE SW, S/O SW MORGAN ST",2013,5462,21400,313047,Y,Y,"(47.544682574000035, -122.37644504299999)",8613.685719139590219
40,181450280,N,22771,SW ROXBURY ST,258,"SW ROXBURY ST, E/O 26TH AVE SW",2013,22771,23000,313259,Y,Y,"(47.51727251900007, -122.34013076499997)",9082.82354480221511
41,180000070,N,22592,SW MORGAN ST,257,"SW MORGAN ST, W/O 35TH AVE SW",2013,22592,7100,313257, ,Y,"(47.544682574000035, -122.37644504299999)",2660.881421113977467
42,173900035,N,21818,SW AVALON WAY,253,"SW AVALON WAY, N/O 30TH AVE SW",2013,21818,13500,313774, ,Y,"(47.571109189000026, -122.37064141299999)",3425.595535779613328
43,108300040,N,13812,E ALOHA ST,113,"E ALOHA ST, E/O 10TH AVE E",2013,13812,7600,311561, ,Y,"(47.626828156000045, -122.32021962799996)",870.360659218200226
44,61150160,N,9832,CORSON AVE S,103,"CORSON AVE S, N/O S MICHIGAN ST",2013,9832,26100,313082,Y,Y,"(47.55226298000008, -122.31929088799995)",1873.987871893398278
45,23850280,N,5001,32ND AVE NW,46,"32ND AVE NW, S/O NW 80TH ST",2013,5001,4900,312281, ,Y,"(47.66753995500005, -122.39831360899996)",8343.257110467291568
46,57900200,N,9548,CALIFORNIA AVE SW,97,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",2013,9548,17100,313714, ,Y,"(47.58119534200006, -122.38654575599998)",7978.44448677336004
47,82910010,N,11481,M L KING JR WAY,158,"M L KING JR WAY, N/O E YESLER WAY",2013,11481,13900,313413, ,Y,"(47.60165615300008, -122.29676784199995)",2335.643232181721032
48,94250590,N,12545,RENTON AVE S,220,"RENTON AVE S, SE/O S BANGOR ST",2013,12545,10300,313725, ,Y,"(47.50635283200006, -122.25453661599994)",2893.135370993605648
49,5750060,N,2188,15TH AVE W,24,"15TH AVE W, N/O W ARMORY WAY",2013,2188,41100,311612,Y,Y,"(47.63349905000007, -122.37619535299996)",7640.763521165906241
50,91150330,N,12159,PHINNEY AVE N,209,"PHINNEY AVE N, S/O N 65TH ST",2013,12159,11000,311598, ,Y,"(47.66501938000005, -122.35395996399996)",4076.446350732890551
51,129750300,N,16504,NE 125TH ST,183,"NE 125TH ST, E/O 35TH AVE NE",2013,16504,10500,311578, ,Y,"(47.68292620300008, -122.26369135099998)",17300.946436733898736
52,5550500,N,2078,15TH AVE NE,21,"15TH AVE NE, S/O NE NORTHGATE WAY",2013,2078,7100,311574, ,Y,"(47.683045873000026, -122.31207927199995)",11465.342148405437911
53,20800110,Y,4383,3RD AVE,56,"3RD AVE, SE/O PIKE ST",2013,4383,7600,313559, ,Y,"(47.601716156000066, -122.33026479299997)",4292.235327668889113
54,188450140,N,23539,WEST MARGINAL WAY SW,268,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW",2013,23539,16400,313261,Y,Y,"(47.57209540100007, -122.36001028199996)",13076.444949909095158
55,5550250,N,2054,15TH AVE NE,20,"15TH AVE NE, S/O NE 75TH ST",2013,2054,9800,313543, ,Y,"(47.67578344000003, -122.31192972099996)",2680.440664832586208
56,94850755,N,12667,ROOSEVELT WAY NE,225,"ROOSEVELT WAY NE, SE/O NE 130TH N ST",2013,12667,17100,313234,Y,Y,"(47.71974505000003, -122.31813230799997)",1819.622504138675822
57,,N,3359,23RD AVE,36,"23RD AVE, N/O E CHERRY ST",2013,3359,16600,313407, ,Y,"(47.59928129200006, -122.30223345099995)",7208.803517166539677
58,38950700,N,7340,5TH AVE NE,65,"5TH AVE NE, S/O 145TH ST OFF RP",2013,7340,5900,313687, ,Y,"(47.72311933700007, -122.32356466599998)",3988.29727348100414
59,109100160,N,13894,E CHERRY ST,114,"E CHERRY ST, W/O 26TH AVE",2013,13894,8300,311563, ,Y,"(47.60805877800004, -122.316779914)",5063.265842840301957
60,5600260,N,2117,15TH AVE NW,22,"15TH AVE NW, S/O NW 80TH ST",2013,2117,32100,313545, ,Y,"(47.668666908000034, -122.376214474)",8046.177439515449805
61,112000040,N,14243,E JOHN ST,115,"E JOHN ST, E/O BROADWAY E",2013,14243,15200,311565, ,Y,"(47.61990774700007, -122.32087289199995)",972.867125631905992
62,47050150,Y,8164,7TH AVE,73,"7TH AVE, NW/O LENORA ST",2013,8164,3900,313693, ,Y,"(47.61428794700004, -122.33615476899996)",2363.704066604085256
63,48100100,N,8477,8TH AVE SW,77,"8TH AVE SW, N/O SW ROXBURY ST",2013,8477,6500,313699, ,Y,"(47.52280971300007, -122.34672690899998)",2079.73698286126637
64,20950790,N,4513,3RD AVE NW,53,"3RD AVE NW, S/O NW 145TH ST",2013,4513,8400,313565, ,Y,"(47.686939153000026, -122.36064997699998)",17217.821065002979594
65,6950380,N,2349,16TH AVE SW,25,"16TH AVE SW, N/O SW CAMBRIDGE ST",2013,2349,5900,311161, ,Y,"(47.533680428000025, -122.35503244799997)",5953.083780034568917
66,89550010,N,12052,OLSON PL SW,208,"OLSON PL SW, SW/O 1ST AVE S",2013,12052,32000,313215,Y,Y,"(47.522322333000034, -122.33484135399999)",2293.665217459473297
67,57350200,N,9450,BROADWAY,95,"BROADWAY, S/O E DENNY WAY",2013,9450,13500,313409, ,Y,"(47.61125935200005, -122.32076006199998)",5032.180231019741768
68,5650245,N,2155,15TH AVE S,23,"15TH AVE S, S/O S BRADFORD ST",2013,2155,21400,313547, ,Y,"(47.571624178000036, -122.31452983699995)",2700.681041300709239
69,113000280,N,14407,EAST MARGINAL WAY S,125,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST",2013,14407,9900,313098,Y,Y,"(47.54737114200003, -122.33383113599996)",1679.002377119396442
70,27050120,N,5362,35TH AVE NE,49,"35TH AVE NE, S/O NE 75TH ST",2013,5362,15400,313039,Y,Y,"(47.66124330500003, -122.29286352199995)",8287.313089232146012
71,185650015,N,23271,W EMERSON PL,265,"W EMERSON PL, SE/O 21ST AVE W",2013,23271,19700,313779, ,Y,"(47.65399335500007, -122.37621487399997)",2821.736205912879996
72,55650170,Y,9318,BOREN AVE,92,"BOREN AVE, SE/O PIKE ST",2013,9318,20800,313442, ,Y,"(47.60648348600006, -122.32252969599995)",1224.113738927845361
73,99400050,N,13038,SWIFT AVE S,260,"SWIFT AVE S, NW/O S ALBRO PL",2013,13038,7700,313734, ,Y,"(47.55344267500004, -122.31347288199999)",6228.657239188328276
74,300215,N,1214,1ST AVE S,31,"1ST AVE S, S/O S SPOKANE SR ST",2013,1214,17800,313535, ,Y,"(47.57139257500006, -122.33419371699995)",6553.646045818292805
75,100140,Y,1013,1ST AVE,32,"1ST AVE, NW/O LENORA ST",2013,1013,14400,313025,Y,Y,"(47.61027471300008, -122.34134343299996)",4622.277428966872321
76,47850140,Y,8279,8TH AVE,78,"8TH AVE, SE/O PIKE ST",2013,8279,4600,313073,Y,Y,"(47.60794452500005, -122.32847075299998)",3919.718775202014513
77,129750230,N,16496,NE 125TH ST,184,"NE 125TH ST, W/O 27TH AVE NE",2013,16496,15300,311576,Y,Y,"(47.71927875100005, -122.295233054)",5659.854577700646587
78,93450730,N,12409,RAINIER AVE S,216,"RAINIER AVE S, S/O S OTHELLO ST",2013,12409,22100,312966, ,Y,"(47.53695787700008, -122.27027401699996)",7910.414504446651335
79,166350100,N,20911,S MYRTLE ST,239,"S MYRTLE ST, W/O BEACON WR AVE S",2013,20911,10900,313250,Y,Y,"(47.53973286000007, -122.30036374099996)",1055.601888054341543
80,63450280,Y,10023,DENNY WAY,109,"DENNY WAY, E/O STEWART ST",2013,10023,28600,312512,Y,Y,"(47.61849175800006, -122.33072296099999)",1257.120454766368312
81,67700450,N,10420,FAUNTLEROY WAY SW,132,"FAUNTLEROY WAY SW, N/O SW BARTON ST",2013,10420,10100,313476, ,Y,"(47.528519095000036, -122.39273438499998)",8904.533509137947476
82,71050650,N,10764,GREENWOOD AVE N,138,"GREENWOOD AVE N, S/O HOLMAN RD N",2013,10764,12500,311592, ,Y,"(47.686941912000066, -122.35529962599998)",6617.585138588244263
83,53850050,N,9093,BEACH DR SW,88,"BEACH DR SW, SE/O 61ST AVE SW",2013,9093,4900,313711, ,Y,"(47.578355919000046, -122.41328134599996)",17360.705425549749634
84,31300120,Y,6130,4TH AVE,62,"4TH AVE, SE/O PIKE ST",2013,6130,19300,311778,Y,Y,"(47.60178556900007, -122.32894644599997)",4472.226517739128212
85,44350170,Y,7890,6TH AVE,71,"6TH AVE, NW/O LENORA ST",2013,7890,6300,311386, ,Y,"(47.613130126000044, -122.33628183799999)",2945.64639494731864
86,80150280,N,11166,LAKE CITY WAY NE,150,"LAKE CITY WAY NE, SW/O NE 115TH ST",2013,11166,39600,313428, ,Y,"(47.70419933100004, -122.30161245299996)",2944.375136294079311
87,93451120,N,12439,RAINIER AVE S,212,"RAINIER AVE S, E/O 75TH AVE S",2013,12439,18000,313223, ,Y,"(47.52011701300006, -122.26277739699998)",8041.57296682895776
88,119750060,N,15264,N 145TH ST,171,"N 145TH ST, W/O LINDEN AVE N",2013,15264,14000,312171,Y,Y,"(47.734140585000034, -122.36092988499996)",3896.135071547790631
89,38950585,N,7255,5TH AVE NE,66,"5TH AVE NE, S/O NE NORTHGATE WAY",2013,7255,14900,313069,Y,Y,"(47.68507268700006, -122.32292811299999)",8580.440533673958271
90,125000140,N,15962,N 85TH ST,180,"N 85TH ST, W/O ASHWORTH AVE N",2013,15962,23400,312816,Y,Y,"(47.68507268700006, -122.32292811299999)",6273.092717292920497
91,136400060,N,17610,NE 80TH ST,198,"NE 80TH ST, E/O 5TH AVE NE",2013,17610,9900,313753, ,Y,"(47.68678736500004, -122.32295135999999)",1329.873409281319255
92,5550170,N,2047,15TH AVE NE,19,"15TH AVE NE, S/O NE 65TH ST",2013,2047,10400,313541, ,Y,"(47.661261953000064, -122.31199330999999)",5297.115921285669174
93,132850275,N,288753,NE 45TH ST,187,"NE 45TH ST, W/O NE 45TH PL",2013,288753,39600,313751, ,Y,"(47.658981683000036, -122.30113876099995)",2427.541808724048678
94,160200190,N,20097,S GENESEE ST,229,"S GENESEE ST, E/O 38TH AVE S",2013,20097,9400,311972, ,Y,"(47.56409503800006, -122.28818594699999)",4316.756316278419945
95,94850100,N,12601,ROOSEVELT WAY NE,222,"ROOSEVELT WAY NE, N/O NE 50TH ST",2013,12601,11800,312058,Y,Y,"(47.656021268000075, -122.31784149899994)",9323.639308536157841
96,120600150,N,15416,N 40TH ST,173,"N 40TH ST, E/O STONE WAY N",2013,15416,10300,311600, ,Y,"(47.65538287700008, -122.34243924099997)",4695.00078826016761
97,31500060,N,6232,4TH AVE S,60,"4TH AVE S, S/O SEATTLE BLVD S",2013,6232,27000,313067,Y,Y,"(47.59648601400005, -122.32904621999995)",9143.612028728086443
98,173050020,N,21691,SW ADMIRAL WAY,252,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST",2013,21691,25600,313255,Y,Y,"(47.572083992000046, -122.37199326999996)",5797.16372341431088
99,164950060,N,20693,S LUCILE ST,236,"S LUCILE ST, E/O 4TH AVE S",2013,20693,6500,310787, ,Y,"(47.55339933000005, -122.32955138399996)",2110.63666944932902
100,63200030,N,9960,DELRIDGE WAY SW,107,"DELRIDGE WAY SW, S/O SW ANDOVER ST",2013,9960,19300,313090,Y,Y,"(47.571207618000074, -122.35847912499997)",12560.251958228536751
101,71050490,N,10746,GREENWOOD AVE N,140,"GREENWOOD AVE N, S/O N 80TH ST",2013,10746,17300,313112,Y,Y,"(47.67602257000004, -122.35435321799997)",4085.27162156830218
102,38950590,N,7256,5TH AVE NE,64,"5TH AVE NE, N/O NE NORTHGATE WAY",2013,7256,11400,313426, ,Y,"(47.70859413300008, -122.32327545299995)",5299.088007358259347
103,10750020,N,3090,20TH AVE W,34,"20TH AVE W, S/O W DRAVUS ST",2013,3090,6500,311608, ,Y,"(47.63231571700004, -122.39187886999997)",9516.928718713666967
104,1500170,N,1298,10TH AVE E,9,"10TH AVE E, S/O E BOSTON ST",2013,1298,13000,311554, ,Y,"(47.62504920300006, -122.32089298799997)",6739.724574752024637
105,4650470,N,1960,14TH AVE S,15,"14TH AVE S, N/O S DIRECTOR ST",2013,1960,11200,313021,Y,Y,"(47.52223294400005, -122.31498166799997)",1863.588880523029729
106,118650070,N,15160,N 130TH ST,170,"N 130TH ST, W/O LINDEN AVE N",2013,15160,13800,313142,Y,Y,"(47.72323366900008, -122.35554671099999)",2601.585352370117562
107,125000070,N,15954,N 85TH ST,181,"N 85TH ST, W/O LINDEN AVE N",2013,15954,25600,313148,Y,Y,"(47.690562587000045, -122.34452192099997)",5288.15231999761636
108,121950060,N,15641,N 50TH ST,177,"N 50TH ST, W/O FREMONT AVE N",2013,15641,11800,313744, ,Y,"(47.66501938000005, -122.35395996399996)",3394.511841035884572
109,164200065,N,20628,S LANDER ST,235,"S LANDER ST, W/O 6TH AVE S",2013,20628,12700,312915, ,Y,"(47.57981113900007, -122.33420081399998)",3159.95873155522213
110,47050080,Y,8157,7TH AVE,74,"7TH AVE, SE/O PIKE ST",2013,8157,7400,313691, ,Y,"(47.610614154000075, -122.33244672399996)",1628.528424083511482
111,63200190,N,9976,DELRIDGE WAY SW,105,"DELRIDGE WAY SW, N/O SW MYRTLE ST",2013,9976,17300,313086,Y,Y,"(47.539147402000026, -122.36093796499995)",6001.090001018498697
112,101100010,N,13189,UNIVERSITY BR,262,"UNIVERSITY BR, SW/O POINT A",2013,13189,27900,312840,Y,Y,"(47.65173327200006, -122.32115167299997)",2568.768098750727404
113,134650300,N,17278,NE 65TH ST,191,"NE 65TH ST, E/O 25TH AVE NE",2013,17278,11700,313434, ,Y,"(47.67577422100004, -122.30065154799996)",2556.737202659959621
114,3400060,N,1656,12TH AVE S,13,"12TH AVE S, S/O S WELLER ST",2013,1656,16300,313539, ,Y,"(47.59918906300004, -122.31722284699998)",3408.180509833676297
115,68700160,N,10498,FREMONT AVE N,134,"FREMONT AVE N, S/O N 46TH ST",2013,10498,10200,311590, ,Y,"(47.65043101700007, -122.34983490399998)",5330.672499823933322
116,112750380,N,14372,E MADISON ST,117,"E MADISON ST, SW/O 38TH AVE E",2013,14372,12700,311569, ,Y,"(47.62601780000006, -122.29244003299999)",5345.494650998864927
117,14850180,N,3605,24TH AVE NW,38,"24TH AVE NW, S/O NW 80TH ST",2013,3605,11300,313555, ,Y,"(47.66867869200007, -122.38757648699999)",7987.373520699352412
118,93450300,N,12368,RAINIER AVE S,218,"RAINIER AVE S, SE/O M L KING JR WAY S",2013,12368,22200,313227,Y,Y,"(47.57835004300006, -122.29815071399997)",5858.371399194109472
119,164950115,N,20699,S LUCILE ST,237,"S LUCILE ST, W/O 12TH AVE S",2013,20699,9500,313769, ,Y,"(47.55208187900007, -122.31975399299995)",2022.638373719788888
120,48050420,N,8469,8TH AVE S,76,"8TH AVE S, S/O S DIRECTOR ST",2013,8469,2000,311388, ,Y,"(47.52647326400006, -122.32558706499998)",3436.949710944650178
121,86200680,N,11752,MERIDIAN AVE N,163,"MERIDIAN AVE N, S/O N 145TH ST",2013,11752,3800,313133,Y,Y,"(47.72320788800005, -122.33418382699995)",3986.473177729528743
122,135950280,N,17527,NE 75TH ST,196,"NE 75TH ST, W/O 30TH AVE NE",2013,17527,15700,311586,Y,Y,"(47.683047427000076, -122.30075822799995)",2532.02921065362807
123,63450045,B,10000,DENNY WAY,111,"DENNY WAY, W/O 2ND AVE",2013,10000,34800,312648,Y,Y,"(47.61859203600005, -122.35283934999995)",1115.20564463717983
124,135950110,N,17510,NE 75TH ST,195,"NE 75TH ST, E/O 12TH AVE NE",2013,17510,20100,313161,Y,Y,"(47.68311118200006, -122.31748950699995)",4121.496923962295114
125,65750060,N,10230,ELLIS AVE S,131,"ELLIS AVE S, S/O S WARSAW ST",2013,10230,7100,313458, ,Y,"(47.54394489200007, -122.31893008499998)",6690.953181950859289
126,112750115,N,14348,E MADISON ST,116,"E MADISON ST, SW/O 17TH AVE",2013,14348,23600,312672, ,Y,"(47.61116907600007, -122.32076019899995)",5371.13088777386929
127,3300260,N,1589,12TH AVE NE,12,"12TH AVE NE, S/O NE 75TH ST",2013,1589,9000,312313,Y,Y,"(47.67581492800008, -122.31565804699994)",2640.895427198398465
128,81500030,N,11336,LEARY WAY NW,152,"LEARY WAY NW, NW/O 3RD AVE NW",2013,11336,28400,311604,Y,Y,"(47.65043101700007, -122.34983490399998)",5713.530604527272772
129,139300090,N,18018,NE NORTHGATE WAY,200,"NE NORTHGATE WAY, W/O 15TH AVE NE",2013,18018,16300,311588,Y,Y,"(47.708560987000055, -122.31785220999996)",4527.712612622539382
130,161950010,N,20314,S HOLGATE BR,232,"S HOLGATE BR, E/O S HOLGATE ST",2013,20314,7000,313766, ,Y,"(47.58610376900003, -122.33419784499995)",6227.305171205312945
131,185250170,N,23222,W DRAVUS ST,264,"W DRAVUS ST, E/O 20TH AVE W",2013,23222,20200,313777, ,Y,"(47.64847250200006, -122.37638282699999)",1380.026334985738913
132,65100270,N,10183,EASTLAKE AVE E,128,"EASTLAKE AVE E, SW/O HARVARD AVE E",2013,10183,14300,313717, ,Y,"(47.62871326700008, -122.33090658799995)",8709.562635942484121
133,93450450,N,12383,RAINIER AVE S,213,"RAINIER AVE S, N/O S ALASKA ST",2013,12383,26600,313464, ,Y,"(47.56409503800006, -122.28818594699999)",1260.71429232278706
134,174000250,N,21848,SW BARTON ST,255,"SW BARTON ST, W/O 30TH AVE SW",2013,21848,8400,311006, ,Y,"(47.52280971300007, -122.34672690899998)",7676.935375414414011
135,14750110,N,3543,24TH AVE E,37,"24TH AVE E, N/O E PROSPECT ST",2013,3543,21000,313031,Y,Y,"(47.61917077700008, -122.30254741099998)",9802.829220874409657
136,22750030,N,4828,31ST AVE S,45,"31ST AVE S, S/O S JACKSON ST",2013,4828,4700,313681, ,Y,"(47.59912512400007, -122.29258593199995)",8590.215932265140509
137,300040,Y,1188,1ST AVE S,28,"1ST AVE S, N/O S KING ST",2013,1188,11000,313533, ,Y,"(47.603268557000035, -122.33493456499997)",4019.33897688905563
138,148000130,N,18898,NW 80TH ST,203,"NW 80TH ST, W/O 15TH AVE NW",2013,18898,7800,313444, ,Y,"(47.68687813100007, -122.37679291699999)",5301.033539662792464
139,121400040,N,15557,N 46TH ST,175,"N 46TH ST, W/O PHINNEY AVE N",2013,15557,24000,313144,Y,Y,"(47.66138529600005, -122.34214535899997)",6326.322001565728897
140,124550040,N,15893,N 80TH ST,179,"N 80TH ST, W/O LINDEN AVE N",2013,15893,16600,313748, ,Y,"(47.68694220500004, -122.34450322999999)",7953.155529725539964
141,131450030,N,16680,NE 145TH ST,185,"NE 145TH ST, E/O 5TH AVE NE",2013,16680,32000,313749, ,Y,"(47.73406373700004, -122.32484703399996)",7977.189247075099047
142,117400050,N,15012,N 105TH ST,167,"N 105TH ST, W/O EVANSTON W AVE N",2013,15012,22800,313741, ,Y,"(47.70508354100008, -122.35545274599997)",2649.000439254626144
143,5550070,N,2034,15TH AVE NE,18,"15TH AVE NE, S/O NE 45TH ST",2013,2034,14800,311571,Y,Y,"(47.653375236000045, -122.31218414899996)",2877.462417804946199
144,4450010,N,1840,14TH AVE,16,"14TH AVE, N/O E YESLER WAY",2013,1840,7200,313405, ,Y,"(47.60168875700003, -122.31416192599994)",2319.759862607199011
145,80550170,N,11209,LAKE WASHINGTON BLVD E,151,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST",2013,11209,18100,313411, ,Y,"(47.62601780000006, -122.29244003299999)",8760.416384306496184
146,31500240,N,6252,4TH AVE S,57,"4TH AVE S, N/O S DAWSON ST",2013,6252,22900,313051,Y,Y,"(47.57142086600004, -122.32907749799995)",6582.446857588451167
147,133200020,N,15656,NE 50TH ST,176,"N 50TH ST, W/O 1ST AVE NE",2013,15656,26800,313146,Y,Y,"(47.66503444600005, -122.34020747199997)",4488.895043304141836
148,52500030,N,8900,AURORA AVE N,,,2012,,74400,311378,,,"(47.618574815000045, -122.34357429399995)",8798.576867570902323
149,102580040,N,13330,WEST SEATTLE BR EB & WB,270,"WEST SEATTLE BR (EB&WB), W/O ALASKAN WY VI NB ON RP",2013,13330,93000,313822, ,Y,"(47.57150601700005, -122.33923413299999)",4775.925420973641849
150,,N,9416,BROAD ST,93,"BROAD ST, NE/O DENNY WAY",2013,9416,15300,313482, ,Y,"(47.618581919000064, -122.35035531399996)",1032.725029876143708
