Shape,OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OID_,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUD,HPMS,FLOW_COUNT,Shape_Length
"(47.63955597900008, -122.40100005599999)",14,26200100,N,5324,34TH AVE W,243,"34TH AVE W, N/O W BARRETT ST",2009,5324,5000,0, ,Y,7204.630762426755609
"(47.66851165500003, -122.29019267799998)",15,133750350,N,17051,NE 55TH ST,25,"NE 55TH ST, E/O 35TH AVE NE",2009,17051,6000,0, ,Y,1323.039423088076319
"(47.654938093000055, -122.36083128799999)",16,20950400,N,4471,3RD AVE NW,244,"3RD AVE NW, S/O NW 80TH ST",2009,4471,8200,0, ,Y,11692.612628154514823
"(47.71764180000008, -122.29620135799996)",17,21550520,N,4641,30TH AVE NE,7,"30TH AVE NE, S/O NE 145TH ST",2009,4641,5900,0, ,Y,5900.803625274841579
"(47.61090005900007, -122.34553867499994)",18,104300010,Y,13524,WESTERN AV OFF RP,30,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",2009,13524,16800,0, ,Y,800.684096825854567
"(47.56074767600006, -122.28702675999995)",19,93450660,N,12402,RAINIER AVE S,128,"RAINIER AVE S, NW/O S HOLLY ST",2009,12402,21300,0, ,Y,9899.733008093522585
"(47.60784153700007, -122.34265099699996)",20,50450230,Y,8728,ALASKAN WAY,12,"ALASKAN WAY, SE/O BLANCHARD ST",2009,8728,10800,0, ,Y,4264.94592765366906
"(47.68694220500004, -122.34450322999999)",21,52501010,N,8988,AURORA AVE N,180,"AURORA AVE N, S/O N 112TH ST",2009,8988,36700,0, ,Y,8438.973686694653225
"(47.710076694000065, -122.34477676699998)",22,52501190,N,9001,AURORA AVE N,85,"AURORA AVE N, S/O N 145TH ST",2009,9001,35500,0, ,Y,8773.64382861051854
"(47.663266177000025, -122.30088691599997)",23,16100130,N,3731,25TH AVE NE,6,"25TH AVE NE, S/O NE 75TH ST",2009,3731,11700,0, ,Y,7221.949072370725844
"(47.61445724200007, -122.32982243199996)",24,114800070,Y,14633,E PINE ST,186,"E PINE ST, W/O BROADWAY",2009,14633,11900,0, ,Y,2305.035244880632035
"(47.611629135000044, -122.33959191399998)",25,20800160,Y,4388,3RD AVE,114,"3RD AVE, NW/O LENORA ST",2009,4388,6900,0, ,Y,3855.520727908655772
"(47.68311118200006, -122.31748950699995)",26,135950080,N,17506,NE 75TH ST,256,"NE 75TH ST, W/O ROOSEVELT WAY NE",2009,17506,19400,0, ,Y,1638.610901777815343
"(47.68304823500006, -122.29047889399999)",27,27050130,N,5363,35TH AVE NE,174,"35TH AVE NE, N/O NE 75TH ST",2009,5363,15100,0, ,Y,16661.424758970333642
"(47.61917077700008, -122.30254741099998)",28,112750300,N,14364,E MADISON ST,90,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",2009,14364,14900,0, ,Y,3528.670573772521493
"(47.68155393100005, -122.31745695999996)",29,94850310,N,12623,ROOSEVELT WAY NE,26,"ROOSEVELT WAY NE, N/O NE 73RD ST",2009,12623,11300,0, ,Y,597.644961676972912
"(47.658981683000036, -122.30113876099995)",30,16100020,N,3720,25TH AVE NE,113,"25TH AVE NE, S/O NE 47TH ST",2009,3720,18600,0, ,Y,1566.224923318762876
"(47.61295826700007, -122.33787347699996)",31,38850180,Y,7244,5TH AVE,42,"5TH AVE, NW/O LENORA ST",2009,7244,10800,0, ,Y,3161.404039921552794
"(47.60329714200003, -122.32728726199997)",32,44350100,Y,7882,6TH AVE,44,"6TH AVE, SE/O PIKE ST",2009,7882,12900,0, ,Y,4217.532249362867333
"(47.60169336800004, -122.31678189399997)",33,3200010,N,1523,12TH AVE,109,"12TH AVE, N/O E YESLER WAY",2009,1523,12300,0, ,Y,6655.508026714457628
"(47.56114223700007, -122.38145850499996)",34,67700130,N,10387,FAUNTLEROY WAY SW,144,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",2009,10387,16500,0, ,Y,6700.409654048211451
"(47.603268557000035, -122.33493456499997)",35,100090,Y,1008,1ST AVE,172,"1ST AVE, SE/O PIKE ST",2009,1008,21600,0, ,Y,3005.085989786341997
"(47.64854072800006, -122.34277540199997)",36,98100150,N,12968,STONE WAY N,102,"STONE WAY N, S/O N 45TH ST",2009,12968,14400,0, ,Y,7875.271358169908126
"(47.613465820000044, -122.32891310199994)",37,114650070,Y,14599,E PIKE ST,91,"E PIKE ST, W/O BROADWAY",2009,14599,12200,0, ,Y,2072.732072194795819
"(47.690655407000065, -122.36599300999995)",38,148450150,N,18971,NW 85TH ST,62,"NW 85TH ST, W/O 16TH AVE NW",2009,18971,14500,0, ,Y,7963.593456625745603
"(47.605155453000066, -122.33924210299995)",39,96200010,Y,12786,SENECA ST OFF RP,266,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",2009,12786,10600,0, ,Y,568.309333210351042
"(47.679817015000026, -122.32571289799995)",40,110750030,N,14073,EAST GREEN LAKE WAY N,18,"EAST GREEN LAKE WAY N, NE/O N 57TH ST",2009,14073,17100,0, ,Y,5649.165048353798738
"(47.67572242700004, -122.26354467899995)",41,95550230,N,12724,SAND POINT WAY NE,68,"SAND POINT WAY NE, S/O NE 74TH ST",2009,12724,13800,0, ,Y,2627.947861171950535
"(47.522322333000034, -122.33484135399999)",42,87750010,N,11941,MYERS WAY S,22,"MYERS WAY S, S/O OLSON PL SW",2009,11941,5800,0, ,Y,2781.790191339497596
"(47.54389035400004, -122.32962073799996)",43,113000310,N,14409,EAST MARGINAL WAY S,142,"EAST MARGINAL WAY S, SE/O 4TH AVE S",2009,14409,14400,0, ,Y,5366.358366268958889
"(47.54750295400004, -122.32143892899995)",44,61150170,N,9833,CORSON AVE S,119,"CORSON AVE S, S/O S MICHIGAN ST",2009,9833,8700,0, ,Y,2609.228439237471321
"(47.61117277100004, -122.34477198499997)",45,104200130,Y,13507,WESTERN AVE,107,"WESTERN AVE, NW/O LENORA ST",2009,13507,9700,0, ,Y,4123.16821528980654
"(47.708560987000055, -122.31785220999996)",46,91650050,N,12231,PINEHURST WAY NE,100,"PINEHURST WAY NE, NE/O NE 115TH ST",2009,12231,8600,0, ,Y,2635.264938209194042
"(47.54698097800008, -122.30793669799999)",47,160500030,N,20110,S GRAHAM ST,230,"S GRAHAM ST, E/O SWIFT AVE S",2009,20110,10900,0, ,Y,5650.695611730229757
"(47.70508354100008, -122.35545274599997)",48,71050670,N,10775,GREENWOOD AVE N,122,"GREENWOOD AVE N, N/O N 107TH ST",2009,10775,22800,0, ,Y,5295.660582630240242
"(47.55208187900007, -122.31975399299995)",49,164950115,N,20699,S LUCILE ST,67,"S LUCILE ST, W/O 12TH AVE S",2009,20699,7300,0, ,Y,2022.602926413034083
"(47.71447200800003, -122.31250490699995)",50,5550680,N,2096,15TH AVE NE,235,"15TH AVE NE, S/O NE 145TH ST",2009,2096,15200,0, ,Y,7106.180547854315591
"(47.544682574000035, -122.37644504299999)",51,27200240,N,5462,35TH AVE SW,78,"35TH AVE SW, S/O SW MORGAN ST",2009,5462,20600,0, ,Y,8613.68362605834227
"(47.72316551600005, -122.32891834799995)",52,200640,N,1113,1ST AVE NE,112,"1ST AVE NE, S/O NE 145TH ST",2009,1113,5300,0, ,Y,3986.725291834632571
"(47.51727251900007, -122.34013076499997)",53,181450280,N,22771,SW ROXBURY ST,202,"SW ROXBURY ST, E/O 26TH AVE SW",2009,22771,15700,0, ,Y,9082.814805230711499
"(47.544682574000035, -122.37644504299999)",54,180000070,N,22592,SW MORGAN ST,201,"SW MORGAN ST, W/O 35TH AVE SW",2009,22592,7400,0, ,Y,2660.881329007580916
"(47.66124330500003, -122.29286352199995)",55,95550200,N,12722,SAND POINT WAY NE,198,"SAND POINT WAY NE, SW/O NE 65TH ST",2009,12722,15600,0, ,Y,9652.347107564171893
"(47.571109189000026, -122.37064141299999)",56,173900035,N,21818,SW AVALON WAY,232,"SW AVALON WAY, N/O 30TH AVE SW",2009,21818,13800,0, ,Y,3424.6043237213471
"(47.626828156000045, -122.32021962799996)",57,108300040,N,13812,E ALOHA ST,184,"E ALOHA ST, E/O 10TH AVE E",2009,13812,7600,0, ,Y,869.880954823290836
"(47.64614702700004, -122.34974100999995)",58,68750010,N,10563,FREMONT BR,48,"FREMONT BR, N/O POINT A",2009,10563,28800,0, ,Y,1563.798177421687114
"(47.61428794700004, -122.33615476899996)",59,47050150,Y,8164,7TH AVE,81,"7TH AVE, NW/O LENORA ST",2009,8164,4800,0, ,Y,2363.703233446867671
"(47.55226298000008, -122.31929088799995)",60,61150160,N,9832,CORSON AVE S,16,"CORSON AVE S, N/O S MICHIGAN ST",2009,9832,25300,0, ,Y,1873.879353781403779
"(47.66753995500005, -122.39831360899996)",61,23850280,N,5001,32ND AVE NW,138,"32ND AVE NW, S/O NW 80TH ST",2009,5001,4200,0, ,Y,8343.161943653965864
"(47.58119534200006, -122.38654575599998)",62,57900200,N,9548,CALIFORNIA AVE SW,248,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",2009,9548,14400,0, ,Y,7978.442174752852225
"(47.56409503800006, -122.28818594699999)",63,93450450,N,12383,RAINIER AVE S,161,"RAINIER AVE S, N/O S ALASKA ST",2009,12383,27400,0, ,Y,1260.641664363727841
"(47.60171754600003, -122.33658213799998)",64,50500050,Y,8738,ALASKAN WAY S,84,"ALASKAN WAY S, N/O S KING ST",2009,8738,12700,0, ,Y,5022.389638342747276
"(47.66503444600005, -122.34020747199997)",65,133200020,N,15656,NE 50TH ST,24,"NE 50TH ST, W/O THACKERAY PL NE",2009,15656,26200,0, ,Y,4488.843226559594768
"(47.60933797300004, -122.32513907699996)",66,83000140,B,11592,MADISON ST,194,"MADISON ST, NE/O BOREN AVE",2009,11592,23100,0, ,Y,1269.957265150482499
"(47.52647326400006, -122.32558706499998)",67,48050420,N,8469,8TH AVE S,70,"8TH AVE S, N/O CITY LIMITS",2009,8469,2200,0, ,Y,3436.615697224779069
"(47.60165615300008, -122.29676784199995)",68,82910010,N,11481,M L KING JR WAY,254,"M L KING JR WAY, N/O E YESLER WAY",2009,11481,13500,0, ,Y,2335.014337740250085
"(47.50635283200006, -122.25453661599994)",69,94250590,N,12545,RENTON AVE S,260,"RENTON AVE S, SE/O S BANGOR ST",2009,12545,11300,0, ,Y,2893.122568660373418
"(47.63349905000007, -122.37619535299996)",70,5750060,N,2188,15TH AVE W,75,"15TH AVE W, N/O W ARMORY WAY",2009,2188,38500,0, ,Y,7640.755891832313864
"(47.66501938000005, -122.35395996399996)",71,91150330,N,12159,PHINNEY AVE N,64,"PHINNEY AVE N, S/O N 65TH ST",2009,12159,11700,0, ,Y,4076.163761911237998
"(47.68292620300008, -122.26369135099998)",72,129750300,N,16504,NE 125TH ST,57,"NE 125TH ST, E/O 35TH AVE NE",2009,16504,10700,0, ,Y,17299.621734321153781
"(47.71960135900008, -122.35553853899995)",73,118500080,N,519931,N 125TH ST,154,"N 125TH ST, W/O AURORA AVE N",2009,519931,9100,0, ,Y,2609.623032323506777
"(47.683045873000026, -122.31207927199995)",74,5550500,N,2078,15TH AVE NE,208,"15TH AVE NE, S/O NE NORTHGATE WAY",2009,2078,7200,0, ,Y,11465.332337622992782
"(47.60168377100007, -122.32765594099999)",75,38850120,Y,7235,5TH AVE,117,"5TH AVE, SE/O PIKE ST",2009,7235,12700,0, ,Y,4844.808374124929287
"(47.601716156000066, -122.33026479299997)",76,20800110,Y,4383,3RD AVE,115,"3RD AVE, SE/O PIKE ST",2009,4383,7900,0, ,Y,4292.235215600815536
"(47.57209540100007, -122.36001028199996)",77,188450140,N,23539,WEST MARGINAL WAY SW,134,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW",2009,23539,15300,0, ,Y,13076.035679781778526
"(47.52014716100007, -122.26971899099999)",78,40250440,N,7537,51ST AVE S,10,"51ST AVE S, S/O S BANGOR ST",2009,7537,6300,0, ,Y,9968.370222402172658
"(47.67578344000003, -122.31192972099996)",79,5550250,N,2054,15TH AVE NE,207,"15TH AVE NE, S/O NE 75TH ST",2009,2054,8600,0, ,Y,2680.065642680350265
"(47.51401604400007, -122.32819219199996)",80,97450080,N,12881,SR509 NB,74,"SR509 NB, S/O CLOVERDALE ST OFF RP",2009,12881,57000,0, ,Y,5993.165041338940682
"(47.60168875700003, -122.31416192599994)",81,4450010,N,1840,14TH AVE,169,"14TH AVE, N/O E YESLER WAY",2009,1840,8100,0, ,Y,2319.757285409235465
"(47.71974505000003, -122.31813230799997)",82,94850755,N,12667,ROOSEVELT WAY NE,130,"ROOSEVELT WAY NE, SE/O NE 130TH N ST",2009,12667,18500,0, ,Y,1819.382111639329196
"(47.57150601700005, -122.33923413299999)",83,102580040,N,13330,WEST SEATTLE BR EB & WB,234,"WEST SEATTLE BR EB, E/O DELRIDGE-W SEATTLE BR EB ON RP",2009,13330,94500,0, ,Y,4775.864939575646531
"(47.61859203600005, -122.35283934999995)",84,63450045,B,10000,DENNY WAY,214,"DENNY WAY, W/O 2ND AVE",2009,10000,30200,0, ,Y,1115.205642907459833
"(47.59648601400005, -122.32904621999995)",85,157550090,N,19832,S DEARBORN ST,66,"S DEARBORN ST, W/O 13TH AVE S",2009,19832,20700,0, ,Y,4409.254389474766867
"(47.72311933700007, -122.32356466599998)",86,38950700,N,7340,5TH AVE NE,11,"5TH AVE NE, S/O 145TH ST OFF RP",2009,7340,5900,0, ,Y,3988.297149992715731
"(47.58610376900003, -122.33419784499995)",87,161950010,N,20314,S HOLGATE BR,28,"S HOLGATE BR, E/O S HOLGATE ST",2009,20314,7400,0, ,Y,6227.137208329602799
"(47.61990774700007, -122.32087289199995)",88,112000040,N,14243,E JOHN ST,185,"E JOHN ST, E/O BROADWAY E",2009,14243,12200,0, ,Y,972.867066792473338
"(47.52280971300007, -122.34672690899998)",89,48100100,N,8477,8TH AVE SW,177,"8TH AVE SW, N/O SW ROXBURY ST",2009,8477,6300,0, ,Y,2079.73696414703727
"(47.632304341000065, -122.39300801799999)",90,19300260,N,4248,28TH AVE W,173,"28TH AVE W, S/O W DRAVUS ST",2009,4248,3700,0, ,Y,7612.375384569786547
"(47.686939153000026, -122.36064997699998)",91,20950790,N,4513,3RD AVE NW,9,"3RD AVE NW, S/O NW 145TH ST",2009,4513,8300,0, ,Y,17217.798895755124249
"(47.57142086600004, -122.32907749799995)",92,31500240,N,6252,4TH AVE S,40,"4TH AVE S, N/O S DAWSON ST",2009,6252,22000,0, ,Y,6582.338163118256489
"(47.533680428000025, -122.35503244799997)",93,6950380,N,2349,16TH AVE SW,237,"16TH AVE SW, N/O SW CAMBRIDGE ST",2009,2349,4900,0, ,Y,5953.080940462593389
"(47.60172225500003, -122.33554940699997)",94,104200090,Y,13503,WESTERN AVE,270,"WESTERN AVE, NW/O UNION ST",2009,13503,6800,0, ,Y,4200.079325321523356
"(47.522322333000034, -122.33484135399999)",95,89550010,N,12052,OLSON PL SW,63,"OLSON PL SW, SW/O 1ST AVE S",2009,12052,28400,0, ,Y,2293.552794429146161
"(47.62871326700008, -122.33090658799995)",96,65100270,N,10183,EASTLAKE AVE E,189,"EASTLAKE AVE E, SW/O HARVARD AVE E",2009,10183,15100,0, ,Y,8709.511790384556662
"(47.55932475900005, -122.38682986999999)",97,57900270,N,9555,CALIFORNIA AVE SW,87,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW",2009,9555,13500,0, ,Y,5272.757337774793996
"(47.60236019700005, -122.33670251499996)",98,60150010,Y,9738,COLUMBIA ST ON RP,118,"COLUMBIA ST ON RP, NE/O ALASKAN WY VI SB",2009,9738,9800,0, ,Y,664.284649321770075
"(47.603268557000035, -122.33493456499997)",99,300040,Y,1188,1ST AVE S,209,"1ST AVE S, N/O S KING ST",2009,1188,10200,0, ,Y,4019.32915557893466
"(47.65173327200006, -122.32115167299997)",100,101100010,N,13189,UNIVERSITY BR,104,"UNIVERSITY BR, SW/O POINT A",2009,13189,28600,0, ,Y,2568.736713700770451
"(47.66124330500003, -122.29286352199995)",101,27050120,N,5362,35TH AVE NE,210,"35TH AVE NE, S/O NE 75TH ST",2009,5362,15300,0, ,Y,8287.30881718967612
"(47.62458297400008, -122.35670922099996)",102,93150200,N,12312,QUEEN ANNE AVE N,258,"QUEEN ANNE AVE N, S/O CROCKETT ST",2009,12312,12200,0, ,Y,5505.296913041343942
"(47.65399335500007, -122.37621487399997)",103,185650015,N,23271,W EMERSON PL,269,"W EMERSON PL, SE/O 21ST AVE W",2009,23271,20100,0, ,Y,2821.021995332368078
"(47.57139257500006, -122.33419371699995)",104,300215,N,1214,1ST AVE S,4,"1ST AVE S, S/O S SPOKANE SR ST",2009,1214,11700,0, ,Y,6553.632279743137588
"(47.61027471300008, -122.34134343299996)",105,100140,Y,1013,1ST AVE,238,"1ST AVE, NW/O LENORA ST",2009,1013,15100,0, ,Y,4622.274752357217039
"(47.60794452500005, -122.32847075299998)",106,47850140,Y,8279,8TH AVE,82,"8TH AVE, SE/O PIKE ST",2009,8279,3400,0, ,Y,3919.717368003014144
"(47.71927875100005, -122.295233054)",107,129750230,N,16496,NE 125TH ST,157,"NE 125TH ST, W/O 27TH AVE NE",2009,16496,16000,0, ,Y,5659.747086608848804
"(47.53695787700008, -122.27027401699996)",108,93450730,N,12409,RAINIER AVE S,197,"RAINIER AVE S, S/O S OTHELLO ST",2009,12409,21500,0, ,Y,7909.970362452011614
"(47.53973286000007, -122.30036374099996)",109,166350100,N,20911,S MYRTLE ST,131,"S MYRTLE ST, W/O BEACON WR AVE S",2009,20911,12200,0, ,Y,1055.353999758371629
"(47.60171754600003, -122.33658213799998)",110,50450160,Y,269161,ALASKAN WAY,13,"ALASKAN WAY, SE/O PIKE ST",2009,269161,12300,0, ,Y,2699.01421111911759
"(47.61849175800006, -122.33072296099999)",111,63450280,Y,10023,DENNY WAY,213,"DENNY WAY, E/O STEWART ST",2009,10023,24000,0, ,Y,1257.038051126515938
"(47.528519095000036, -122.39273438499998)",112,67700450,N,10420,FAUNTLEROY WAY SW,47,"FAUNTLEROY WAY SW, N/O SW BARTON ST",2009,10420,11000,0, ,Y,8903.757974910920893
"(47.686941912000066, -122.35529962599998)",113,71050650,N,10764,GREENWOOD AVE N,145,"GREENWOOD AVE N, S/O HOLMAN RD N",2009,10764,11900,0, ,Y,6617.585135947726485
"(47.578355919000046, -122.41328134599996)",114,53850050,N,9093,BEACH DR SW,141,"BEACH DR SW, SE/O 61ST AVE SW",2009,9093,4600,0, ,Y,17358.496755550320813
"(47.60178556900007, -122.32894644599997)",115,31300120,Y,6130,4TH AVE,211,"4TH AVE, SE/O PIKE ST, NW FLOW",2009,6130,17400,0, ,Y,4472.226115174146798
"(47.61852163400005, -122.33532065999998)",116,63450245,Y,158085,DENNY WAY,183,"DENNY WAY, E/O MINOR AVE",2009,158085,23200,0, ,Y,1134.110294062900493
"(47.610614154000075, -122.33244672399996)",117,47050080,Y,8157,7TH AVE,176,"7TH AVE, SE/O PIKE ST",2009,8157,7300,0, ,Y,1628.528408931772447
"(47.613130126000044, -122.33628183799999)",118,44350170,Y,7890,6TH AVE,43,"6TH AVE, NW/O LENORA ST",2009,7890,7400,0, ,Y,2945.325842637232199
"(47.70419933100004, -122.30161245299996)",119,80150280,N,11166,LAKE CITY WAY NE,54,"LAKE CITY WAY NE, SW/O NE 115TH ST",2009,11166,37300,0, ,Y,2944.274922450030772
"(47.52011701300006, -122.26277739699998)",120,93451120,N,12439,RAINIER AVE S,204,"RAINIER AVE S, W/O CITY LIMITS",2009,12439,18600,0, ,Y,8040.80930579748474
"(47.52107001400003, -122.37676149299995)",121,27200460,N,5484,35TH AVE SW,8,"35TH AVE SW, N/O SW ROXBURY ST",2009,5484,15600,0, ,Y,2685.903341760408239
"(47.734140585000034, -122.36092988499996)",122,119750060,N,15264,N 145TH ST,94,"N 145TH ST, W/O LINDEN AVE N",2009,15264,12600,0, ,Y,3896.135071446132315
"(47.68507268700006, -122.32292811299999)",123,38950585,N,7255,5TH AVE NE,212,"5TH AVE NE, S/O NE NORTHGATE WAY",2009,7255,17100,0, ,Y,8580.330628941592295
"(47.65135136100008, -122.34731411199999)",124,52500700,N,8957,AURORA AVE N,46,"AURORA AVE N, S/O N 80TH ST",2009,8957,38200,0, ,Y,13101.596033819036165
"(47.68507268700006, -122.32292811299999)",125,125000140,N,15962,N 85TH ST,156,"N 85TH ST, W/O ASHWORTH AVE N",2009,15962,25100,0, ,Y,6272.836367738382251
"(47.668650650000075, -122.36220391299997)",126,151300110,N,19223,NW MARKET ST,160,"NW MARKET ST, W/O 8TH AVE NW",2009,19223,24200,0, ,Y,6251.562906790937632
"(47.68678736500004, -122.32295135999999)",127,136400060,N,17610,NE 80TH ST,257,"NE 80TH ST, E/O 5TH AVE NE",2009,17610,9500,0, ,Y,1329.873409154973388
"(47.661261953000064, -122.31199330999999)",128,5550170,N,2047,15TH AVE NE,3,"15TH AVE NE, S/O NE 65TH ST",2009,2047,10500,0, ,Y,5297.11257741809186
"(47.658981683000036, -122.30113876099995)",129,132850275,N,288753,NE 45TH ST,98,"NE 45TH ST, W/O NE 45TH PL",2009,288753,40300,0, ,Y,2427.191584485342446
"(47.56409503800006, -122.28818594699999)",130,160200190,N,20097,S GENESEE ST,261,"S GENESEE ST, E/O 38TH AVE S",2009,20097,9800,0, ,Y,4316.749127165969185
"(47.50820078700008, -122.37087513199998)",131,172350300,N,21625,SW 106TH ST,267,"SW 106TH ST, W/O SEOLA BEACH DR SW",2009,21625,8800,0, ,Y,3274.917109566880754
"(47.66496550700003, -122.32199078299999)",132,133200100,N,16929,NE 50TH ST,58,"NE 50TH ST, W/O ROOSEVELT WAY NE",2009,16929,22900,0, ,Y,2477.370637792661455
"(47.656021268000075, -122.31784149899994)",133,94850100,N,12601,ROOSEVELT WAY NE,65,"ROOSEVELT WAY NE, N/O NE 50TH ST",2009,12601,11700,0, ,Y,9323.473715036374415
"(47.65538287700008, -122.34243924099997)",134,120600150,N,15416,N 40TH ST,224,"N 40TH ST, E/O STONE WAY N",2009,15416,11500,0, ,Y,4694.998075214030905
"(47.571207618000074, -122.35847912499997)",135,102580290,N,13333,WEST SEATTLE BR EB & WB,136,"WEST SEATTLE BR EB, NE/O FAUNTLEROY WAY SW",2009,13333,44100,0, ,Y,7828.178810671346582
"(47.53895778300006, -122.29608148499995)",136,53960170,N,573395,BEACON AVE S,35,"BEACON ER AVE S, S/O S SPOKANE ST",2009,573395,12900,0, ,Y,12515.673968054104989
"(47.59648601400005, -122.32904621999995)",137,31500060,N,6232,4TH AVE S,139,"4TH AVE S, S/O AIRPORT WAY S",2009,6232,23800,0, ,Y,9143.595438430247668
"(47.572083992000046, -122.37199326999996)",138,173050020,N,21691,SW ADMIRAL WAY,132,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST",2009,21691,25400,0, ,Y,5796.757459581978765
"(47.61116907600007, -122.32076019899995)",139,112750115,N,14348,E MADISON ST,89,"E MADISON ST, SW/O 17TH AVE",2009,14348,22400,0, ,Y,5371.129397701944981
"(47.55339933000005, -122.32955138399996)",140,164950060,N,20693,S LUCILE ST,165,"S LUCILE ST, E/O 4TH AVE S",2009,20693,6800,0, ,Y,2110.636598835392306
"(47.55339933000005, -122.32955138399996)",141,31500330,N,6261,4TH AVE S,79,"4TH AVE S, N/O S MICHIGAN ST",2009,6261,18600,0, ,Y,3468.623071880898806
"(47.571207618000074, -122.35847912499997)",142,63200030,N,9960,DELRIDGE WAY SW,182,"DELRIDGE WAY SW, S/O SW ANDOVER ST",2009,9960,21100,0, ,Y,12560.08137315930253
"(47.682772372000045, -122.34448441399996)",143,110700050,N,14060,EAST GREEN LAKE DR N,251,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE",2009,14060,13600,0, ,Y,5941.889149262296087
"(47.624549726000055, -122.34234960099997)",144,86150160,N,11775,MERCER ST,56,"MERCER ST, W/O FAIRVIEW AVE N",2009,11775,36300,0, ,Y,1988.338547785031096
"(47.54737114200003, -122.33383113599996)",145,113000280,N,14407,EAST MARGINAL WAY S,252,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST",2009,14407,12400,0, ,Y,1678.995307530583887
"(47.668666908000034, -122.376214474)",146,5600260,N,2117,15TH AVE NW,170,"15TH AVE NW, S/O NW 80TH ST",2009,2117,31000,0, ,Y,8045.819617105518773
"(47.67602257000004, -122.35435321799997)",147,71050490,N,10746,GREENWOOD AVE N,49,"GREENWOOD AVE N, S/O N 80TH ST",2009,10746,12200,0, ,Y,4085.063721881273523
"(47.70859413300008, -122.32327545299995)",148,38950590,N,7256,5TH AVE NE,116,"5TH AVE NE, N/O NE NORTHGATE WAY",2009,7256,12700,0, ,Y,5299.088000593672405
"(47.63231571700004, -122.39187886999997)",149,10750020,N,3090,20TH AVE W,239,"20TH AVE W, S/O W DRAVUS ST",2009,3090,6700,0, ,Y,9516.656238213676261
"(47.648997404000056, -122.30459125899995)",150,86950030,N,11911,MONTLAKE BLVD NE,152,"MONTLAKE BLVD NE, N/O NE PACIFIC PL",2009,11911,47800,0, ,Y,3751.799471268867819
