Shape,OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OID_,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUD,HPMS,FLOW_COUNT,Shape_Length
"(47.63955597900008, -122.40100005599999)",14,26200100,N,5324,34TH AVE W,3,"34TH AVE W, N/O W BARRETT ST",2010,5324,4900,302140, ,Y,7204.630762426755609
"(47.66851165500003, -122.29019267799998)",15,133750350,N,17051,NE 55TH ST,260,"NE 55TH ST, E/O 35TH AVE NE",2010,17051,5700,302015, ,Y,1323.039423088076319
"(47.654938093000055, -122.36083128799999)",16,20950400,N,4471,3RD AVE NW,60,"3RD AVE NW, S/O NW 80TH ST",2010,4471,10700,302149, ,Y,11692.612628154514823
"(47.71764180000008, -122.29620135799996)",17,21550520,N,4641,30TH AVE NE,94,"30TH AVE NE, S/O NE 145TH ST",2010,4641,5800,302145, ,Y,5900.803625274841579
"(47.61090005900007, -122.34553867499994)",18,104300010,Y,13524,WESTERN AV OFF RP,199,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",2010,13524,17500,300138, ,Y,800.684096825854567
"(47.56074767600006, -122.28702675999995)",19,93450660,N,12402,RAINIER AVE S,121,"RAINIER AVE S, NW/O S HOLLY ST",2010,12402,19500,301455, ,Y,9899.733008093522585
"(47.60784153700007, -122.34265099699996)",20,50450230,Y,8728,ALASKAN WAY,173,"ALASKAN WAY, SE/O BLANCHARD ST",2010,8728,12300,302111, ,Y,4264.94592765366906
"(47.68694220500004, -122.34450322999999)",21,52501010,N,8988,AURORA AVE N,142,"AURORA AVE N, S/O N 112TH ST",2010,8988,34000,301387, ,Y,8438.973686694653225
"(47.710076694000065, -122.34477676699998)",22,52501190,N,9001,AURORA AVE N,246,"AURORA AVE N, S/O N 145TH ST",2010,9001,34400,302101, ,Y,8773.64382861051854
"(47.663266177000025, -122.30088691599997)",23,16100130,N,3731,25TH AVE NE,2,"25TH AVE NE, S/O NE 75TH ST",2010,3731,11900,302154, ,Y,7221.949072370725844
"(47.61445724200007, -122.32982243199996)",24,114800070,Y,14633,E PINE ST,252,"E PINE ST, W/O BROADWAY",2010,14633,12800,301923, ,Y,2305.035244880632035
"(47.611629135000044, -122.33959191399998)",25,20800160,Y,4388,3RD AVE,32,"3RD AVE, NW/O LENORA ST",2010,4388,8300,302150, ,Y,3855.520727908655772
"(47.68311118200006, -122.31748950699995)",26,135950080,N,17506,NE 75TH ST,118,"NE 75TH ST, W/O ROOSEVELT WAY NE",2010,17506,20000,302013, ,Y,1638.610901777815343
"(47.68304823500006, -122.29047889399999)",27,27050130,N,5363,35TH AVE NE,204,"35TH AVE NE, N/O NE 75TH ST",2010,5363,15400,301369, ,Y,16661.424758970333642
"(47.61917077700008, -122.30254741099998)",28,112750300,N,14364,E MADISON ST,104,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",2010,14364,15800,301913, ,Y,3528.670573772521493
"(47.68155393100005, -122.31745695999996)",29,94850310,N,12623,ROOSEVELT WAY NE,193,"ROOSEVELT WAY NE, N/O NE 73RD ST",2010,12623,15900,300973, ,Y,597.644961676972912
"(47.658981683000036, -122.30113876099995)",30,16100020,N,3720,25TH AVE NE,92,"25TH AVE NE, S/O NE 47TH ST",2010,3720,17000,302156, ,Y,1566.224923318762876
"(47.61295826700007, -122.33787347699996)",31,38850180,Y,7244,5TH AVE,63,"5TH AVE, NW/O LENORA ST",2010,7244,10800,218348, ,Y,3161.404039921552794
"(47.60329714200003, -122.32728726199997)",32,44350100,Y,7882,6TH AVE,136,"6TH AVE, SE/O PIKE ST",2010,7882,14600,301197, ,Y,4217.532249362867333
"(47.60169336800004, -122.31678189399997)",33,3200010,N,1523,12TH AVE,53,"12TH AVE, N/O E YESLER WAY",2010,1523,12600,301363, ,Y,6655.508026714457628
"(47.56114223700007, -122.38145850499996)",34,67700130,N,10387,FAUNTLEROY WAY SW,253,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",2010,10387,16100,301411, ,Y,6700.409654048211451
"(47.603268557000035, -122.33493456499997)",35,100090,Y,1008,1ST AVE,202,"1ST AVE, SE/O PIKE ST",2010,1008,21100,302188, ,Y,3005.085989786341997
"(47.64854072800006, -122.34277540199997)",36,98100150,N,12968,STONE WAY N,83,"STONE WAY N, S/O N 45TH ST",2010,12968,14200,301897, ,Y,7875.271358169908126
"(47.613465820000044, -122.32891310199994)",37,114650070,Y,14599,E PIKE ST,251,"E PIKE ST, W/O BROADWAY",2010,14599,13100,301921, ,Y,2072.732072194795819
"(47.690655407000065, -122.36599300999995)",38,148450150,N,18971,NW 85TH ST,188,"NW 85TH ST, W/O 16TH AVE NW",2010,18971,18900,301971, ,Y,7963.593456625745603
"(47.605155453000066, -122.33924210299995)",39,96200010,Y,12786,SENECA ST OFF RP,158,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",2010,12786,11000,300139, ,Y,568.309333210351042
"(47.679817015000026, -122.32571289799995)",40,110750030,N,14073,EAST GREEN LAKE WAY N,11,"EAST GREEN LAKE WAY N, NE/O N 57TH ST",2010,14073,18300,303086, ,Y,5649.165048353798738
"(47.67572242700004, -122.26354467899995)",41,95550230,N,12724,SAND POINT WAY NE,266,"SAND POINT WAY NE, S/O NE 74TH ST",2010,12724,13900,302051, ,Y,2627.947861171950535
"(47.522322333000034, -122.33484135399999)",42,87750010,N,11941,MYERS WAY S,75,"MYERS WAY S, S/O OLSON PL SW",2010,11941,5200,302065, ,Y,2781.790191339497596
"(47.54389035400004, -122.32962073799996)",43,113000310,N,14409,EAST MARGINAL WAY S,147,"EAST MARGINAL WAY S, SE/O 4TH AVE S",2010,14409,19800,301919, ,Y,5366.358366268958889
"(47.54750295400004, -122.32143892899995)",44,61150170,N,9833,CORSON AVE S,176,"CORSON AVE S, S/O S MICHIGAN ST",2010,9833,7100,301401, ,Y,2609.228439237471321
"(47.61117277100004, -122.34477198499997)",45,104200130,Y,13507,WESTERN AVE,271,"WESTERN & ELLIOTT AVE, NW/O LENORA ST",2010,13507,9000,302192, ,Y,4123.16821528980654
"(47.708560987000055, -122.31785220999996)",46,91650050,N,12231,PINEHURST WAY NE,21,"PINEHURST WAY NE, NE/O NE 115TH ST",2010,12231,10900,301449, ,Y,2635.264938209194042
"(47.54698097800008, -122.30793669799999)",47,160500030,N,20110,S GRAHAM ST,24,"S GRAHAM ST, E/O SWIFT AVE S",2010,20110,9900,302005, ,Y,5650.695611730229757
"(47.70508354100008, -122.35545274599997)",48,71050670,N,10775,GREENWOOD AVE N,255,"GREENWOOD AVE N, N/O N 107TH ST",2010,10775,23700,301421, ,Y,5295.660582630240242
"(47.55208187900007, -122.31975399299995)",49,164950115,N,20699,S LUCILE ST,157,"S LUCILE ST, W/O 12TH AVE S",2010,20699,7300,301985, ,Y,2022.602926413034083
"(47.71447200800003, -122.31250490699995)",50,5550680,N,2096,15TH AVE NE,164,"15TH AVE NE, S/O NE 145TH ST",2010,2096,14100,302170, ,Y,7106.180547854315591
"(47.544682574000035, -122.37644504299999)",51,27200240,N,5462,35TH AVE SW,4,"35TH AVE SW, S/O SW MORGAN ST",2010,5462,20200,301373, ,Y,8613.68362605834227
"(47.72316551600005, -122.32891834799995)",52,200640,N,1113,1ST AVE NE,130,"1ST AVE NE, S/O NE 145TH ST",2010,1113,5300,302185, ,Y,3986.725291834632571
"(47.51727251900007, -122.34013076499997)",53,181450280,N,22771,SW ROXBURY ST,86,"SW ROXBURY ST, E/O 26TH AVE SW",2010,22771,16000,301995, ,Y,9082.814805230711499
"(47.544682574000035, -122.37644504299999)",54,180000070,N,22592,SW MORGAN ST,52,"SW MORGAN ST, W/O 35TH AVE SW",2010,22592,6700,301993, ,Y,2660.881329007580916
"(47.66124330500003, -122.29286352199995)",55,95550200,N,12722,SAND POINT WAY NE,228,"SAND POINT WAY NE, SW/O NE 65TH ST",2010,12722,14400,301895, ,Y,9652.347107564171893
"(47.571109189000026, -122.37064141299999)",56,173900035,N,21818,SW AVALON WAY,85,"SW AVALON WAY, N/O 30TH AVE SW",2010,21818,15100,301963, ,Y,3424.6043237213471
"(47.626828156000045, -122.32021962799996)",57,108300040,N,13812,E ALOHA ST,68,"E ALOHA ST, E/O 10TH AVE E",2010,13812,8700,300932, ,Y,869.880954823290836
"(47.64614702700004, -122.34974100999995)",58,68750010,N,10563,FREMONT BR,254,"FREMONT BR, N/O POINT A",2010,10563,28200,303205, ,Y,1563.798177421687114
"(47.61428794700004, -122.33615476899996)",59,47050150,Y,8164,7TH AVE,137,"7TH AVE, NW/O LENORA ST",2010,8164,4700,302125, ,Y,2363.703233446867671
"(47.55226298000008, -122.31929088799995)",60,61150160,N,9832,CORSON AVE S,175,"CORSON AVE S, N/O S MICHIGAN ST",2010,9832,42000,301399, ,Y,1873.879353781403779
"(47.66753995500005, -122.39831360899996)",61,23850280,N,5001,32ND AVE NW,243,"32ND AVE NW, S/O NW 80TH ST",2010,5001,4500,302141, ,Y,8343.161943653965864
"(47.58119534200006, -122.38654575599998)",62,57900200,N,9548,CALIFORNIA AVE SW,144,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",2010,9548,14300,302095, ,Y,7978.442174752852225
"(47.56409503800006, -122.28818594699999)",63,93450450,N,12383,RAINIER AVE S,192,"RAINIER AVE S, N/O S ALASKA ST",2010,12383,28100,301453, ,Y,1260.641664363727841
"(47.60171754600003, -122.33658213799998)",64,50500050,Y,8738,ALASKAN WAY S,6,"ALASKAN WAY S, N/O S KING ST",2010,8738,10200,302109, ,Y,5022.389638342747276
"(47.66503444600005, -122.34020747199997)",65,133200020,N,15656,NE 50TH ST,114,"N 50TH ST, W/O 1ST AVE NE",2010,15656,25300,301945, ,Y,4488.843226559594768
"(47.60933797300004, -122.32513907699996)",66,83000140,B,11592,MADISON ST,43,"MADISON ST, NE/O BOREN AVE",2010,11592,23300,301441, ,Y,1269.957265150482499
"(47.52647326400006, -122.32558706499998)",67,48050420,N,8469,8TH AVE S,245,"8TH AVE S, N/O CITY LIMITS",2010,8469,1900,218739, ,Y,3436.615697224779069
"(47.60165615300008, -122.29676784199995)",68,82910010,N,11481,M L KING JR WAY,110,"M L KING JR WAY, N/O E YESLER WAY",2010,11481,14500,301433, ,Y,2335.014337740250085
"(47.50635283200006, -122.25453661599994)",69,94250590,N,12545,RENTON AVE S,81,"RENTON AVE S, SE/O S BANGOR ST",2010,12545,11400,302055, ,Y,2893.122568660373418
"(47.63349905000007, -122.37619535299996)",70,5750060,N,2188,15TH AVE W,54,"15TH AVE W, N/O W ARMORY WAY",2010,2188,39600,301151, ,Y,7640.755891832313864
"(47.66501938000005, -122.35395996399996)",71,91150330,N,12159,PHINNEY AVE N,222,"PHINNEY AVE N, S/O N 65TH ST",2010,12159,11100,301447, ,Y,4076.163761911237998
"(47.68292620300008, -122.26369135099998)",72,129750300,N,16504,NE 125TH ST,77,"NE 125TH ST, E/O 35TH AVE NE",2010,16504,9900,301941, ,Y,17299.621734321153781
"(47.71960135900008, -122.35553853899995)",73,118500080,N,519931,N 125TH ST,44,"N 125TH ST, W/O AURORA AVE N",2010,519931,8700,302037, ,Y,2609.623032323506777
"(47.683045873000026, -122.31207927199995)",74,5550500,N,2078,15TH AVE NE,87,"15TH AVE NE, S/O NE NORTHGATE WAY",2010,2078,7300,303440, ,Y,11465.332337622992782
"(47.60168377100007, -122.32765594099999)",75,38850120,Y,7235,5TH AVE,207,"5TH AVE, SE/O PIKE ST",2010,7235,13800,300342, ,Y,4844.808374124929287
"(47.601716156000066, -122.33026479299997)",76,20800110,Y,4383,3RD AVE,168,"3RD AVE, SE/O PIKE ST",2010,4383,7900,302152, ,Y,4292.235215600815536
"(47.57209540100007, -122.36001028199996)",77,188450140,N,23539,WEST MARGINAL WAY SW,270,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW",2010,23539,16300,301909, ,Y,13076.035679781778526
"(47.52014716100007, -122.26971899099999)",78,40250440,N,7537,51ST AVE S,134,"51ST AVE S, S/O S BANGOR ST",2010,7537,8900,302129, ,Y,9968.370222402172658
"(47.67578344000003, -122.31192972099996)",79,5550250,N,2054,15TH AVE NE,89,"15TH AVE NE, S/O NE 75TH ST",2010,2054,7200,302172, ,Y,2680.065642680350265
"(47.51401604400007, -122.32819219199996)",80,97450080,N,12881,SR509 NB,196,"SR509 NB & SB , S/O CLOVERDALE ST ON & OFF RP",2010,12881,57400,302198, ,Y,5993.165041338940682
"(47.60168875700003, -122.31416192599994)",81,4450010,N,1840,14TH AVE,0,"14TH AVE, N/O E YESLER WAY",2010,1840,11800,301149, ,Y,2319.757285409235465
"(47.71974505000003, -122.31813230799997)",82,94850755,N,12667,ROOSEVELT WAY NE,264,"ROOSEVELT WAY NE, SE/O NE 130TH N ST",2010,12667,18400,302053, ,Y,1819.382111639329196
"(47.57150601700005, -122.33923413299999)",83,102580040,N,13330,WEST SEATTLE BR EB & WB,233,"WEST SEATTLE BR EB & WB , E/O DELRIDGE-W SEATTLE BR EB ON RP",2010,13330,101000,302196, ,Y,4775.864939575646531
"(47.61859203600005, -122.35283934999995)",84,63450045,B,10000,DENNY WAY,101,"DENNY WAY, W/O 2ND AVE",2010,10000,30600,302849, ,Y,1115.205642907459833
"(47.59648601400005, -122.32904621999995)",85,157550090,N,19832,S DEARBORN ST,23,"S DEARBORN ST, W/O 13TH AVE S",2010,19832,20400,302007, ,Y,4409.254389474766867
"(47.72311933700007, -122.32356466599998)",86,38950700,N,7340,5TH AVE NE,169,"5TH AVE NE, S/O 145TH ST OFF RP",2010,7340,5800,302131, ,Y,3988.297149992715731
"(47.58610376900003, -122.33419784499995)",87,161950010,N,20314,S HOLGATE BR,125,"S HOLGATE BR, E/O S HOLGATE ST",2010,20314,7000,302003, ,Y,6227.137208329602799
"(47.61990774700007, -122.32087289199995)",88,112000040,N,14243,E JOHN ST,103,"E JOHN ST, E/O BROADWAY E",2010,14243,13100,301907, ,Y,972.867066792473338
"(47.52280971300007, -122.34672690899998)",89,48100100,N,8477,8TH AVE SW,138,"8TH AVE SW, N/O SW ROXBURY ST",2010,8477,6500,302119, ,Y,2079.73696414703727
"(47.632304341000065, -122.39300801799999)",90,19300260,N,4248,28TH AVE W,203,"28TH AVE W, S/O W DRAVUS ST",2010,4248,3800,302153, ,Y,7612.375384569786547
"(47.686939153000026, -122.36064997699998)",91,20950790,N,4513,3RD AVE NW,132,"3RD AVE NW, S/O NW 145TH ST",2010,4513,8800,302147, ,Y,17217.798895755124249
"(47.57142086600004, -122.32907749799995)",92,31500240,N,6252,4TH AVE S,33,"4TH AVE S, N/O S DAWSON ST",2010,6252,21200,302132, ,Y,6582.338163118256489
"(47.533680428000025, -122.35503244799997)",93,6950380,N,2349,16TH AVE SW,55,"16TH AVE SW, N/O SW CAMBRIDGE ST",2010,2349,5100,302164, ,Y,5953.080940462593389
"(47.60172225500003, -122.33554940699997)",94,104200090,Y,13503,WESTERN AVE,161,"WESTERN AVE, NW/O UNION ST",2010,13503,6300,302041, ,Y,4200.079325321523356
"(47.522322333000034, -122.33484135399999)",95,89550010,N,12052,OLSON PL SW,79,"OLSON PL SW, SW/O 1ST AVE S",2010,12052,29800,302063, ,Y,2293.552794429146161
"(47.62871326700008, -122.33090658799995)",96,65100270,N,10183,EASTLAKE AVE E,149,"EASTLAKE AVE E, SW/O HARVARD AVE E",2010,10183,15200,302083, ,Y,8709.511790384556662
"(47.55932475900005, -122.38682986999999)",97,57900270,N,9555,CALIFORNIA AVE SW,10,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW",2010,9555,12600,301397, ,Y,5272.757337774793996
"(47.60236019700005, -122.33670251499996)",98,60150010,Y,9738,COLUMBIA ST ON RP,250,"COLUMBIA ST ON RP, NE/O ALASKAN WY VI SB",2010,9738,14100,300140, ,Y,664.284649321770075
"(47.603268557000035, -122.33493456499997)",99,300040,Y,1188,1ST AVE S,241,"1ST AVE S, N/O S KING ST",2010,1188,10800,302183, ,Y,4019.32915557893466
"(47.65173327200006, -122.32115167299997)",100,101100010,N,13189,UNIVERSITY BR,159,"UNIVERSITY BR, SW/O POINT A",2010,13189,28000,303225, ,Y,2568.736713700770451
"(47.66124330500003, -122.29286352199995)",101,27050120,N,5362,35TH AVE NE,167,"35TH AVE NE, S/O NE 75TH ST",2010,5362,13800,302138, ,Y,8287.30881718967612
"(47.62458297400008, -122.35670922099996)",102,93150200,N,12312,QUEEN ANNE AVE N,191,"QUEEN ANNE AVE N, S/O CROCKETT ST",2010,12312,11100,303058, ,Y,5505.296913041343942
"(47.65399335500007, -122.37621487399997)",103,185650015,N,23271,W EMERSON PL,269,"W EMERSON PL, SE/O 21ST AVE W",2010,23271,19900,301911, ,Y,2821.021995332368078
"(47.57139257500006, -122.33419371699995)",104,300215,N,1214,1ST AVE S,131,"1ST AVE S, S/O S SPOKANE SR ST",2010,1214,12000,302181, ,Y,6553.632279743137588
"(47.61027471300008, -122.34134343299996)",105,100140,Y,1013,1ST AVE,57,"1ST AVE, NW/O LENORA ST",2010,1013,24100,302186, ,Y,4622.274752357217039
"(47.60794452500005, -122.32847075299998)",106,47850140,Y,8279,8TH AVE,35,"8TH AVE, SE/O PIKE ST",2010,8279,5300,302123, ,Y,3919.717368003014144
"(47.71927875100005, -122.295233054)",107,129750230,N,16496,NE 125TH ST,116,"NE 125TH ST, W/O 27TH AVE NE",2010,16496,18000,301939, ,Y,5659.747086608848804
"(47.53695787700008, -122.27027401699996)",108,93450730,N,12409,RAINIER AVE S,223,"RAINIER AVE S, S/O S OTHELLO ST",2010,12409,20600,303323, ,Y,7909.970362452011614
"(47.53973286000007, -122.30036374099996)",109,166350100,N,20911,S MYRTLE ST,50,"S MYRTLE ST, W/O BEACON WR AVE S",2010,20911,11600,301981, ,Y,1055.353999758371629
"(47.60171754600003, -122.33658213799998)",110,50450160,Y,269161,ALASKAN WAY,64,"ALASKAN WAY, SE/O PIKE ST",2010,269161,12600,302113, ,Y,2699.01421111911759
"(47.61849175800006, -122.33072296099999)",111,63450280,Y,10023,DENNY WAY,211,"DENNY WAY, E/O STEWART ST",2010,10023,24500,301405, ,Y,1257.038051126515938
"(47.528519095000036, -122.39273438499998)",112,67700450,N,10420,FAUNTLEROY WAY SW,106,"FAUNTLEROY WAY SW, N/O SW BARTON ST",2010,10420,15300,301413, ,Y,8903.757974910920893
"(47.686941912000066, -122.35529962599998)",113,71050650,N,10764,GREENWOOD AVE N,13,"GREENWOOD AVE N, S/O HOLMAN RD N",2010,10764,12000,301419, ,Y,6617.585135947726485
"(47.578355919000046, -122.41328134599996)",114,53850050,N,9093,BEACH DR SW,174,"BEACH DR SW, SE/O 61ST AVE SW",2010,9093,4300,302097, ,Y,17358.496755550320813
"(47.60178556900007, -122.32894644599997)",115,31300120,Y,6130,4TH AVE,206,"4TH AVE, SE/O PIKE ST",2010,6130,18600,300361, ,Y,4472.226115174146798
"(47.61852163400005, -122.33532065999998)",116,63450245,Y,158085,DENNY WAY,177,"DENNY WAY, E/O MINOR AVE",2010,158085,23300,302085, ,Y,1134.110294062900493
"(47.610614154000075, -122.33244672399996)",117,47050080,Y,8157,7TH AVE,96,"7TH AVE, SE/O PIKE ST",2010,8157,9400,302127, ,Y,1628.528408931772447
"(47.613130126000044, -122.33628183799999)",118,44350170,Y,7890,6TH AVE,171,"6TH AVE, NW/O LENORA ST",2010,7890,6000,218351, ,Y,2945.325842637232199
"(47.70419933100004, -122.30161245299996)",119,80150280,N,11166,LAKE CITY WAY NE,180,"LAKE CITY WAY NE, SW/O NE 115TH ST",2010,11166,44100,301427, ,Y,2944.274922450030772
"(47.52011701300006, -122.26277739699998)",120,93451120,N,12439,RAINIER AVE S,263,"RAINIER AVE S, E/O 75TH AVE S",2010,12439,18000,302057, ,Y,8040.80930579748474
"(47.52107001400003, -122.37676149299995)",121,27200460,N,5484,35TH AVE SW,31,"35TH AVE SW, N/O SW ROXBURY ST",2010,5484,16100,302136, ,Y,2685.903341760408239
"(47.734140585000034, -122.36092988499996)",122,119750060,N,15264,N 145TH ST,16,"N 145TH ST, W/O LINDEN AVE N",2010,15264,13300,302033, ,Y,3896.135071446132315
"(47.68507268700006, -122.32292811299999)",123,38950585,N,7255,5TH AVE NE,62,"5TH AVE NE, S/O NE NORTHGATE WAY",2010,7255,22700,301379, ,Y,8580.330628941592295
"(47.65135136100008, -122.34731411199999)",124,52500700,N,8957,AURORA AVE N,247,"AURORA AVE N, S/O N 80TH ST",2010,8957,37700,302103, ,Y,13101.596033819036165
"(47.68507268700006, -122.32292811299999)",125,125000140,N,15962,N 85TH ST,46,"N 85TH ST, W/O ASHWORTH AVE N",2010,15962,24700,303148, ,Y,6272.836367738382251
"(47.668650650000075, -122.36220391299997)",126,151300110,N,19223,NW MARKET ST,78,"NW MARKET ST, W/O 8TH AVE NW",2010,19223,24100,303172, ,Y,6251.562906790937632
"(47.68678736500004, -122.32295135999999)",127,136400060,N,17610,NE 80TH ST,48,"NE 80TH ST, E/O 5TH AVE NE",2010,17610,9700,302011, ,Y,1329.873409154973388
"(47.661261953000064, -122.31199330999999)",128,5550170,N,2047,15TH AVE NE,129,"15TH AVE NE, S/O NE 65TH ST",2010,2047,8900,302174, ,Y,5297.11257741809186
"(47.658981683000036, -122.30113876099995)",129,132850275,N,288753,NE 45TH ST,153,"NE 45TH ST, W/O NE 45TH PL",2010,288753,46500,302019, ,Y,2427.191584485342446
"(47.56409503800006, -122.28818594699999)",130,160200190,N,20097,S GENESEE ST,195,"S GENESEE ST, E/O 38TH AVE S",2010,20097,8800,301023, ,Y,4316.749127165969185
"(47.50820078700008, -122.37087513199998)",131,172350300,N,21625,SW 106TH ST,268,"SW 106TH ST, W/O SEOLA BEACH DR SW",2010,21625,9400,301973, ,Y,3274.917109566880754
"(47.66496550700003, -122.32199078299999)",132,133200100,N,16929,NE 50TH ST,221,"NE 50TH ST, W/O ROOSEVELT WAY NE",2010,16929,21800,302017, ,Y,2477.370637792661455
"(47.656021268000075, -122.31784149899994)",133,94850100,N,12601,ROOSEVELT WAY NE,22,"ROOSEVELT WAY NE, N/O NE 50TH ST",2010,12601,10500,300719, ,Y,9323.473715036374415
"(47.65538287700008, -122.34243924099997)",134,120600150,N,15416,N 40TH ST,184,"N 40TH ST, E/O STONE WAY N",2010,15416,11500,301933, ,Y,4694.998075214030905
"(47.571207618000074, -122.35847912499997)",135,102580290,N,13333,WEST SEATTLE BR EB & WB,127,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",2010,13333,43700,303354, ,Y,7828.178810671346582
"(47.53895778300006, -122.29608148499995)",136,53960170,N,573395,BEACON AVE S,65,"BEACON ER & WR AVE S, S/O S SPOKANE ST",2010,573395,13100,302202, ,Y,12515.673968054104989
"(47.59648601400005, -122.32904621999995)",137,31500060,N,6232,4TH AVE S,244,"4TH AVE S, S/O SEATTLE BLVD S",2010,6232,32000,301375, ,Y,9143.595438430247668
"(47.572083992000046, -122.37199326999996)",138,173050020,N,21691,SW ADMIRAL WAY,84,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST",2010,21691,25300,301967, ,Y,5796.757459581978765
"(47.61116907600007, -122.32076019899995)",139,112750115,N,14348,E MADISON ST,145,"E MADISON ST, SW/O 17TH AVE",2010,14348,21900,302991, ,Y,5371.129397701944981
"(47.55339933000005, -122.32955138399996)",140,164950060,N,20693,S LUCILE ST,156,"S LUCILE ST, E/O 4TH AVE S",2010,20693,6700,300690, ,Y,2110.636598835392306
"(47.55339933000005, -122.32955138399996)",141,31500330,N,6261,4TH AVE S,61,"4TH AVE S, N/O S MICHIGAN ST",2010,6261,19300,301377, ,Y,3468.623071880898806
"(47.571207618000074, -122.35847912499997)",142,63200030,N,9960,DELRIDGE WAY SW,39,"DELRIDGE WAY SW, S/O SW ANDOVER ST",2010,9960,20000,302093, ,Y,12560.08137315930253
"(47.682772372000045, -122.34448441399996)",143,110700050,N,14060,EAST GREEN LAKE DR N,105,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE",2010,14060,10700,301905, ,Y,5941.889149262296087
"(47.624549726000055, -122.34234960099997)",144,86150160,N,11775,MERCER ST,73,"MERCER ST, W/O FAIRVIEW AVE N",2010,11775,37900,218199, ,Y,1988.338547785031096
"(47.54737114200003, -122.33383113599996)",145,113000280,N,14407,EAST MARGINAL WAY S,146,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST",2010,14407,12600,301917, ,Y,1678.995307530583887
"(47.668666908000034, -122.376214474)",146,5600260,N,2117,15TH AVE NW,165,"15TH AVE NW, S/O NW 80TH ST",2010,2117,30800,302168, ,Y,8045.819617105518773
"(47.67602257000004, -122.35435321799997)",147,71050490,N,10746,GREENWOOD AVE N,216,"GREENWOOD AVE N, S/O N 80TH ST",2010,10746,12800,302079, ,Y,4085.063721881273523
"(47.70859413300008, -122.32327545299995)",148,38950590,N,7256,5TH AVE NE,135,"5TH AVE NE, N/O NE NORTHGATE WAY",2010,7256,19300,301381, ,Y,5299.088000593672405
"(47.63231571700004, -122.39187886999997)",149,10750020,N,3090,20TH AVE W,58,"20TH AVE W, S/O W DRAVUS ST",2010,3090,6400,301153, ,Y,9516.656238213676261
