OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,STUDY_ID,TITLE,STUDY_ADT,STUDY_MAX8,STUDY_AMPK,STUDY_PMPK,SEG_COMPKEY,STDY_TITLE,STDY_LABEL,YEAR,FLOWMAP,HPMS_FLOW_,AWDT,ADJUSTMENT,AAWDT,RND_AAWDT,Shape,Shape_Length
11,300310,N,1221,1ST AVE S,101,311022,"1ST AVE S, S/O S LUCILE ST; TOTAL FLOW; CH(AGG); 30Apr2012 11:15",16657,11955,1390,2066,1221,"1ST AVE S, S/O S LUCILE ST","311022, 2012-04-30, TOTAL",2012,Y,"1ST AVE S, S/O S LUCILE ST",19924.400000000001455,0.984,19606,19600,"(47.55342592800008, -122.33421550999998)",1881.08324343105005
12,118650110,N,15163,N 130TH ST,107,309999,"N 130TH ST, W/O ASHWORTH AVE N; TOTAL FLOW; CH(AGG); 26Jun2012 11:45",19046,11230,1348,1599,15163,"N 130TH ST, W/O ASHWORTH AVE N","309999, 2012-06-26, TOTAL",2012,Y,"N 130TH ST, W/O ASHWORTH AVE N",20189.200000000000728,0.964,19462,19500,"(47.723211939000066, -122.34515960199997)",5315.40860707820957
13,26200100,N,5324,34TH AVE W,55,308758,"34TH AVE W, N/O W BARRETT ST; TOTAL FLOW; CHB TUBE; 01Aug2012 10:45",4576,2927,325,482,5324,"34TH AVE W, N/O W BARRETT ST","308758, 2012-08-01, TOTAL",2012,Y,"34TH AVE W, N/O W BARRETT ST",4808.400000000000546,1.008,4847,4800,"(47.63955597900008, -122.40100005599999)",7204.640181629007202
14,133750350,N,17051,NE 55TH ST,7,310021,"NE 55TH ST, E/O 35TH AVE NE; TOTAL FLOW; CH(AGG); 08Oct2012 11:00",6402,4319,528,687,17051,"NE 55TH ST, E/O 35TH AVE NE","310021, 2012-10-08, TOTAL",2012,Y,"NE 55TH ST, E/O 35TH AVE NE",7013.199999999999818,0.978,6859,6900,"(47.66851165500003, -122.29019267799998)",1323.039429446254417
15,20950400,N,4471,3RD AVE NW,132,311195,"3RD AVE NW, S/O NW 80TH ST; TOTAL FLOW; CH(AGG); 05Nov2012 11:15",7754,5055,630,861,4471,"3RD AVE NW, S/O NW 80TH ST","311195, 2012-11-05, TOTAL",2012,Y,"3RD AVE NW, S/O NW 80TH ST",8240.399999999999636,1.04,8570,8600,"(47.654938093000055, -122.36083128799999)",11692.845230751641793
16,21550520,N,4641,30TH AVE NE,105,311199,"30TH AVE NE, S/O NE 145TH ST; TOTAL FLOW; CH(AGG); 15May2012 11:45",5670,3644,435,596,4641,"30TH AVE NE, S/O NE 145TH ST","311199, 2012-05-15, TOTAL",2012,Y,"30TH AVE NE, S/O NE 145TH ST",6188.199999999999818,1.002,6201,6200,"(47.71764180000008, -122.29620135799996)",5900.819617759161702
17,93450660,N,12402,RAINIER AVE S,19,310061,"RAINIER AVE S, NW/O S HOLLY ST; TOTAL FLOW; CH(AGG); 08Nov2012 10:30",19874,11669,1429,1743,12402,"RAINIER AVE S, NW/O S HOLLY ST","310061, 2012-11-08, TOTAL",2012,Y,"RAINIER AVE S, NW/O S HOLLY ST",20961.75,1.04,21800,21800,"(47.56074767600006, -122.28702675999995)",9900.479784456299967
18,52501190,N,9001,AURORA AVE N,183,311217,"AURORA AVE N, S/O N 145TH ST; TOTAL FLOW; CH(AGG); 14May2012 10:30",33514,20033,2208,2930,9001,"AURORA AVE N, S/O N 145TH ST","311217, 2012-05-14, TOTAL",2012,Y,"AURORA AVE N, S/O N 145TH ST",35697.400000000001455,1.002,35769,35800,"(47.710076694000065, -122.34477676699998)",8773.646131242388947
19,16100130,N,3731,25TH AVE NE,149,309897,"25TH AVE NE, S/O NE 75TH ST; TOTAL FLOW; CH(AGG); 06Nov2012 10:30",10151,6573,822,1049,3731,"25TH AVE NE, S/O NE 75TH ST","309897, 2012-11-06, TOTAL",2012,Y,"25TH AVE NE, S/O NE 75TH ST",10756.5,1.04,11187,11200,"(47.663266177000025, -122.30088691599997)",7222.044652647220573
20,114800070,Y,14633,E PINE ST,72,311089,"E PINE ST, W/O BROADWAY; TOTAL FLOW; CH(AGG); 17Sep2012 12:00",10728,5127,647,736,14633,"E PINE ST, W/O BROADWAY","311089, 2012-09-17, TOTAL",2012,Y,"E PINE ST, W/O BROADWAY",10365.600000000000364,0.974,10096,10100,"(47.61445724200007, -122.32982243199996)",2305.051367790955283
21,20800160,Y,4388,3RD AVE,133,311192,"3RD AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 01Mar2012 10:45",9468,5067,631,792,4388,"3RD AVE, NW/O LENORA ST","311192, 2012-03-01, TOTAL",2012,Y,"3RD AVE, NW/O LENORA ST",9695.800000000001091,1.046,10142,10100,"(47.611629135000044, -122.33959191399998)",3855.52176173807311
22,135950080,N,17506,NE 75TH ST,112,310033,"NE 75TH ST, W/O ROOSEVELT WAY NE; TOTAL FLOW; CH(AGG); 26Nov2012 12:00",23043,13429,1926,1819,17506,"NE 75TH ST, W/O ROOSEVELT WAY NE","310033, 2012-11-26, TOTAL",2012,Y,"NE 75TH ST, W/O ROOSEVELT WAY NE",23817,1.04,24770,24800,"(47.68311118200006, -122.31748950699995)",1638.814930859653032
23,27050130,N,5363,35TH AVE NE,77,310671,"35TH AVE NE, N/O NE 75TH ST; TOTAL FLOW; CH(AGG); 28Mar2012 11:30",14382,9207,1113,1465,5363,"35TH AVE NE, N/O NE 75TH ST","310671, 2012-03-28, TOTAL",2012,Y,"35TH AVE NE, N/O NE 75TH ST",15379.200000000000728,1.046,16087,16100,"(47.68304823500006, -122.29047889399999)",16661.965610853869293
24,16100020,N,3720,25TH AVE NE,148,309895,"25TH AVE NE, S/O NE 47TH ST; TOTAL FLOW; CH(AGG); 04Oct2012 11:30",15947,9464,1036,1401,3720,"25TH AVE NE, S/O NE 47TH ST","309895, 2012-10-04, TOTAL",2012,Y,"25TH AVE NE, S/O NE 47TH ST",16701,0.978,16334,16300,"(47.658981683000036, -122.30113876099995)",1566.283982191900122
25,38850180,Y,7244,5TH AVE,44,311368,"5TH AVE, NW/O LENORA ST; SE FLOW; CH(AGG);(2011 DATA) 06Mar2012 11:30",13500,8510,1729,1039,7244,"5TH AVE, NW/O LENORA ST","311368, 2012-03-06, SE",2012,Y,"5TH AVE, NW/O LENORA ST",14469.200000000000728,1.046,15135,15100,"(47.61295826700007, -122.33787347699996)",3161.428490705025524
26,44350100,Y,7882,6TH AVE,254,308947,"6TH AVE, SE/O PIKE ST; NW FLOW; CH(AGG); 19Jul2012 10:30",13003,7108,1093,887,7882,"6TH AVE, SE/O PIKE ST","308947, 2012-07-19, NW",2012,Y,"6TH AVE, SE/O PIKE ST",13607.800000000001091,0.981,13349,13300,"(47.60329714200003, -122.32728726199997)",4217.538196430848984
27,3200010,N,1523,12TH AVE,4,311026,"12TH AVE, N/O E YESLER WAY; TOTAL FLOW; CH(AGG); 23Apr2012 10:15",12621,7343,1024,1065,1523,"12TH AVE, N/O E YESLER WAY","311026, 2012-04-23, TOTAL",2012,Y,"12TH AVE, N/O E YESLER WAY",13242.200000000000728,0.984,13030,13000,"(47.60169336800004, -122.31678189399997)",6655.508055508860707
28,67700130,N,10387,FAUNTLEROY WAY SW,121,309963,"FAUNTLEROY WAY SW, S/O SW ALASKA ST; TOTAL FLOW; CH(AGG); 29Nov2012 10:30",13747,7682,1108,1057,10387,"FAUNTLEROY WAY SW, S/O SW ALASKA ST","309963, 2012-11-29, TOTAL",2012,Y,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",14262.800000000001091,1.04,14833,14800,"(47.56114223700007, -122.38145850499996)",6701.184305007837793
29,100090,Y,1008,1ST AVE,45,311139,"1ST AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 18Jul2012 11:45",21644,10970,1412,1557,1008,"1ST AVE, SE/O PIKE ST","311139, 2012-07-18, TOTAL",2012,Y,"1ST AVE, SE/O PIKE ST",22402.200000000000728,0.981,21977,22000,"(47.60172233900005, -122.33417859399998)",3622.38722989747248
30,98100150,N,12968,STONE WAY N,193,311075,"STONE WAY N, S/O N 45TH ST; TOTAL FLOW; CH(AGG); 24Apr2012 12:15",15111,8914,1074,1303,12968,"STONE WAY N, S/O N 45TH ST","311075, 2012-04-24, TOTAL",2012,Y,"STONE WAY N, S/O N 45TH ST",16038,0.984,15781,15800,"(47.64854072800006, -122.34277540199997)",7875.290365878261582
31,114650070,Y,14599,E PIKE ST,18,311087,"E PIKE ST, W/O BROADWAY; TOTAL FLOW; CH(AGG); 17Sep2012 12:30",10282,5848,678,858,14599,"E PIKE ST, W/O BROADWAY","311087, 2012-09-17, TOTAL",2012,Y,"E PIKE ST, W/O BROADWAY",12121.200000000000728,0.974,11806,11800,"(47.613465820000044, -122.32891310199994)",2073.249086529443503
32,148450150,N,18971,NW 85TH ST,172,311108,"NW 85TH ST, W/O 16TH AVE NW; TOTAL FLOW; CH(AGG); 18Apr2012 10:45",15054,8091,1036,1165,18971,"NW 85TH ST, W/O 16TH AVE NW","311108, 2012-04-18, TOTAL",2012,Y,"NW 85TH ST, W/O 16TH AVE NW",14991.200000000000728,0.984,14751,14800,"(47.690655407000065, -122.36599300999995)",7963.598603482202634
33,96200010,Y,12786,SENECA ST OFF RP,233,308162,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB; NE FLOW; CH2; 07Jun2012 11:30",8473,5212,852,600,12786,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB","308162, 2012-06-07, NE",2012,Y,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",9141.600000000000364,0.964,8813,8800,"(47.605155453000066, -122.33924210299995)",568.309333198742252
34,87750010,N,11941,MYERS WAY S,244,309997,"MYERS WAY S, S/O OLSON PL SW; TOTAL FLOW; CH(AGG); 02May2012 11:30",5258,3091,496,443,11941,"MYERS WAY S, S/O OLSON PL SW","309997, 2012-05-02, TOTAL",2012,Y,"MYERS WAY S, S/O OLSON PL SW",5646,1.002,5657,5700,"(47.522322333000034, -122.33484135399999)",2781.794818471146755
35,61150170,N,9833,CORSON AVE S,38,309929,"CORSON AVE S, S/O S MICHIGAN ST; TOTAL FLOW; CH(AGG); 21Aug2012 11:30",6920,4824,634,771,9833,"CORSON AVE S, S/O S MICHIGAN ST","309929, 2012-08-21, TOTAL",2012,Y,"CORSON AVE S, S/O S MICHIGAN ST",8500.799999999999272,1.008,8569,8600,"(47.54750295400004, -122.32143892899995)",2609.231230464485179
36,104200130,Y,13507,WESTERN AVE,139,311344,"WESTERN & ELLIOTT AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 01Mar2012 11:45",11548,7243,997,1289,13507,"WESTERN & ELLIOTT AVE, NW/O LENORA ST","311344, 2012-03-01, TOTAL",2012,Y,"WESTERN & ELLIOTT AVE, NW/O LENORA ST",11869.399999999999636,1.046,12415,12400,"(47.61117277100004, -122.34477198499997)",4123.168891879808143
37,91650050,N,12231,PINEHURST WAY NE,120,310059,"PINEHURST WAY NE, NE/O NE 115TH ST; TOTAL FLOW; CH(AGG); 26Apr2012 10:45",8757,5505,672,901,12231,"PINEHURST WAY NE, NE/O NE 115TH ST","310059, 2012-04-26, TOTAL",2012,Y,"PINEHURST WAY NE, NE/O NE 115TH ST",9442.200000000000728,0.984,9291,9300,"(47.708560987000055, -122.31785220999996)",2635.549253484183737
38,71050670,N,10775,GREENWOOD AVE N,221,309967,"GREENWOOD AVE N, N/O N 107TH ST; TOTAL FLOW; CH(AGG); 26Apr2012 13:15",23171,13923,1766,2193,10775,"GREENWOOD AVE N, N/O N 107TH ST","309967, 2012-04-26, TOTAL",2012,Y,"GREENWOOD AVE N, N/O N 107TH ST",24522.600000000002183,0.984,24130,24100,"(47.70508354100008, -122.35545274599997)",5295.660582685643021
39,5550680,N,2096,15TH AVE NE,3,309875,"15TH AVE NE, S/O NE 145TH ST; TOTAL FLOW; CH(AGG); 15May2012 11:00",15167,9551,1182,1605,2096,"15TH AVE NE, S/O NE 145TH ST","309875, 2012-05-15, TOTAL",2012,Y,"15TH AVE NE, S/O NE 145TH ST",16121.399999999999636,1.002,16154,16200,"(47.71447200800003, -122.31250490699995)",7106.190727112158129
40,27200240,N,5462,35TH AVE SW,210,309907,"35TH AVE SW, S/O SW MORGAN ST; TOTAL FLOW; CH(AGG); 26Mar2012 14:15",19491,11181,1343,1703,5462,"35TH AVE SW, S/O SW MORGAN ST","309907, 2012-03-26, TOTAL",2012,Y,"35TH AVE SW, S/O SW MORGAN ST",20015.200000000000728,1.046,20936,20900,"(47.544682574000035, -122.37644504299999)",8613.685719139590219
41,181450280,N,22771,SW ROXBURY ST,257,310091,"SW ROXBURY ST, E/O 26TH AVE SW; TOTAL FLOW; CH(AGG); 23Oct2012 11:45",0,11421,1320,1705,22771,"SW ROXBURY ST, E/O 26TH AVE SW","310091, 2012-10-23, TOTAL",2012,Y,"SW ROXBURY ST, E/O 26TH AVE SW",20626.200000000000728,0.978,20172,20200,"(47.51727251900007, -122.34013076499997)",9082.82354480221511
42,180000070,N,22592,SW MORGAN ST,63,307216,"SW MORGAN ST, W/O 35TH AVE SW; TOTAL FLOW; CHB TUBE; 26Mar2012 13:45",8560,5125,624,864,22592,"SW MORGAN ST, W/O 35TH AVE SW","307216, 2012-03-26, TOTAL",2012,Y,"SW MORGAN ST, W/O 35TH AVE SW",8756,1.046,9159,9200,"(47.544682574000035, -122.37644504299999)",2660.881421113977467
43,173900035,N,21818,SW AVALON WAY,143,311259,"SW AVALON WAY, N/O 30TH AVE SW; TOTAL FLOW; CH(AGG); 05Jun2012 11:30",14353,8518,1095,1217,21818,"SW AVALON WAY, N/O 30TH AVE SW","311259, 2012-06-05, TOTAL",2012,Y,"SW AVALON WAY, N/O 30TH AVE SW",15215.399999999999636,0.964,14668,14700,"(47.571109189000026, -122.37064141299999)",3425.595535779613328
44,52540270,N,8919,AURORA BR,280,0, ,56000,0,0,0,8919, ,"WSDOT, ADT",2012,Y, ,0,0,0,56000,"(47.622060832000045, -122.34367501599996)",10850.570428784954856
45,108300040,N,13812,E ALOHA ST,73,308906,"E ALOHA ST, E/O 10TH AVE E; TOTAL FLOW; CHB TUBE; 22Aug2012 11:30",7648,4578,524,746,13812,"E ALOHA ST, E/O 10TH AVE E","308906, 2012-08-22, TOTAL",2012,Y,"E ALOHA ST, E/O 10TH AVE E",8137.800000000000182,1.008,8203,8200,"(47.626828156000045, -122.32021962799996)",870.360659218200226
46,47050150,Y,8164,7TH AVE,253,311209,"7TH AVE, NW/O LENORA ST; TOTAL FLOW; CH(AGG); 05Mar2012 10:00",4155,2651,440,439,8164,"7TH AVE, NW/O LENORA ST","311209, 2012-03-05, TOTAL",2012,Y,"7TH AVE, NW/O LENORA ST",4425.400000000000546,1.046,4629,4600,"(47.613595528000076, -122.33517270299996)",2713.654487675285964
47,61150160,N,9832,CORSON AVE S,100,309927,"CORSON AVE S, N/O S MICHIGAN ST; TOTAL FLOW; CH(AGG); 21Aug2012 11:15",23249,13179,1909,1630,9832,"CORSON AVE S, N/O S MICHIGAN ST","309927, 2012-08-21, TOTAL",2012,Y,"CORSON AVE S, N/O S MICHIGAN ST",26590.600000000002183,1.008,26803,26800,"(47.55226298000008, -122.31929088799995)",1873.987871893398278
48,23850280,N,5001,32ND AVE NW,154,309487,"32ND AVE NW, S/O NW 80TH ST; TOTAL FLOW; CHB TUBE; 01Nov2012 10:00",4293,2577,316,391,5001,"32ND AVE NW, S/O NW 80TH ST","309487, 2012-11-01, TOTAL",2012,Y,"32ND AVE NW, S/O NW 80TH ST",4405.400000000000546,1.04,4582,4600,"(47.66753995500005, -122.39831360899996)",8343.257110467291568
49,57900200,N,9548,CALIFORNIA AVE SW,182,311219,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST; TOTAL FLOW; CH(AGG); 27Nov2012 11:45",27858,16848,2029,2420,9548,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST","311219, 2012-11-27, TOTAL",2012,Y,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",28864,1.04,30019,30000,"(47.58119534200006, -122.38654575599998)",7978.44448677336004
50,93450450,N,12383,RAINIER AVE S,264,311068,"RAINIER AVE S, N/O S ALASKA ST; TOTAL FLOW; CH(AGG); 20Sep2012 11:15",15790,8719,1359,1092,12383,"RAINIER AVE S, N/O S ALASKA ST","311068, 2012-09-20, TOTAL",2012,Y,"RAINIER AVE S, N/O S ALASKA ST",16307.200000000000728,0.974,15883,15900,"(47.56281827200007, -122.28783612799998)",787.054245719982305
51,83000140,Y,11592,MADISON ST,146,309991,"MADISON ST, NE/O BOREN AVE; TOTAL FLOW; CH(AGG); 27Jun2012 12:45",16510,8885,1257,1106,11592,"MADISON ST, NE/O BOREN AVE","309991, 2012-06-27, TOTAL",2012,Y,"MADISON ST, NE/O BOREN AVE",17742,0.964,17103,17100,"(47.60933797300004, -122.32513907699996)",1269.957271614438469
52,82910010,N,11481,M L KING JR WAY,164,311057,"M L KING JR WAY, N/O E YESLER WAY; TOTAL FLOW; CH(AGG); 17Sep2012 11:15",12191,7982,1261,1202,11481,"M L KING JR WAY, N/O E YESLER WAY","311057, 2012-09-17, TOTAL",2012,Y,"M L KING JR WAY, N/O E YESLER WAY",13189.800000000001091,0.974,12847,12800,"(47.60165615300008, -122.29676784199995)",2335.643232181721032
53,94250590,N,12545,RENTON AVE S,114,311230,"RENTON AVE S, SE/O S BANGOR ST; TOTAL FLOW; CH(AGG); 03May2012 11:00",11091,6002,688,969,12545,"RENTON AVE S, SE/O S BANGOR ST","311230, 2012-05-03, TOTAL",2012,Y,"RENTON AVE S, SE/O S BANGOR ST",11149.200000000000728,1.002,11171,11200,"(47.50635283200006, -122.25453661599994)",2893.135370993605648
54,5750060,N,2188,15TH AVE W,28,309881,"15TH AVE W, N/O W ARMORY WAY; TOTAL FLOW; CH(AGG); 17Apr2012 10:45",42281,24177,3078,3715,2188,"15TH AVE W, N/O W ARMORY WAY","309881, 2012-04-17, TOTAL",2012,Y,"15TH AVE W, N/O W ARMORY WAY",44469,0.984,43757,43800,"(47.63349905000007, -122.37619535299996)",7640.763521165906241
55,91150330,N,12159,PHINNEY AVE N,195,311065,"PHINNEY AVE N, S/O N 65TH ST; TOTAL FLOW; CH(AGG); 26Jun2012 11:00",12081,7183,739,1106,12159,"PHINNEY AVE N, S/O N 65TH ST","311065, 2012-06-26, TOTAL",2012,Y,"PHINNEY AVE N, S/O N 65TH ST",12780.200000000000728,0.964,12320,12300,"(47.66501938000005, -122.35395996399996)",4076.446350732890551
56,129750300,N,16504,NE 125TH ST,125,311101,"NE 125TH ST, E/O 35TH AVE NE; TOTAL FLOW; CH(AGG); 27Apr2012 15:00",11202,6807,786,1085,16504,"NE 125TH ST, E/O 35TH AVE NE","311101, 2012-04-27, TOTAL",2012,Y,"NE 125TH ST, E/O 35TH AVE NE",11728.399999999999636,0.984,11541,11500,"(47.68292620300008, -122.26369135099998)",17300.946436733898736
57,5550500,N,2078,15TH AVE NE,17,311032,"15TH AVE NE, S/O NE NORTHGATE WAY; TOTAL FLOW; CH(AGG); 26Apr2012 11:30",6601,4257,497,786,2078,"15TH AVE NE, S/O NE NORTHGATE WAY","311032, 2012-04-26, TOTAL",2012,Y,"15TH AVE NE, S/O NE NORTHGATE WAY",7034.199999999999818,0.984,6922,6900,"(47.683045873000026, -122.31207927199995)",11465.342148405437911
58,20800110,Y,4383,3RD AVE,201,311190,"3RD AVE, SE/O PIKE ST; TOTAL FLOW; CH(AGG); 18Jul2012 13:30",9264,4889,606,744,4383,"3RD AVE, SE/O PIKE ST","311190, 2012-07-18, TOTAL",2012,Y,"3RD AVE, SE/O PIKE ST",9594.399999999999636,0.981,9412,9400,"(47.601716156000066, -122.33026479299997)",4292.235327668889113
59,188450140,N,23539,WEST MARGINAL WAY SW,86,310103,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW; TOTAL FLOW; CH(AGG); 05Jun2012 11:15",14556,10161,1538,1352,23539,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW","310103, 2012-06-05, TOTAL",2012,Y,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW",17198.400000000001455,0.964,16579,16600,"(47.57209540100007, -122.36001028199996)",13076.444949909095158
60,5550250,N,2054,15TH AVE NE,26,311154,"15TH AVE NE, S/O NE 75TH ST; TOTAL FLOW; CH(AGG); 05Nov2012 11:00",7926,5368,665,945,2054,"15TH AVE NE, S/O NE 75TH ST","311154, 2012-11-05, TOTAL",2012,Y,"15TH AVE NE, S/O NE 75TH ST",8502.200000000000728,1.04,8842,8800,"(47.67578344000003, -122.31192972099996)",2680.440664832586208
61,94850755,N,12667,ROOSEVELT WAY NE,20,310071,"ROOSEVELT WAY NE, SE/O NE 130TH N ST; TOTAL FLOW; CH(AGG); 30Jul2012 11:15",18898,11099,1213,1665,12667,"ROOSEVELT WAY NE, SE/O NE 130TH N ST","310071, 2012-07-30, TOTAL",2012,Y,"ROOSEVELT WAY NE, SE/O NE 130TH N ST",20180.600000000002183,0.981,19797,19800,"(47.71974505000003, -122.31813230799997)",1819.622504138675822
62,63450045,Y,10000,DENNY WAY,152,309943,"DENNY WAY, W/O 2ND AVE; TOTAL FLOW; CH(AGG); 10Oct2012 11:00",34235,19560,2850,2814,10000,"DENNY WAY, W/O 2ND AVE","309943, 2012-10-10, TOTAL",2012,Y,"DENNY WAY, W/O 2ND AVE",36248.80000000000291,0.978,35451,35500,"(47.61859203600005, -122.35283934999995)",1115.20564463717983
63,38950700,N,7340,5TH AVE NE,14,311203,"5TH AVE NE, S/O 145TH ST OFF RP; TOTAL FLOW; CH(AGG); 15May2012 11:30",5414,3125,384,505,7340,"5TH AVE NE, S/O 145TH ST OFF RP","311203, 2012-05-15, TOTAL",2012,Y,"5TH AVE NE, S/O 145TH ST OFF RP",5594.600000000000364,1.002,5606,5600,"(47.72311933700007, -122.32356466599998)",3988.29727348100414
64,112000040,N,14243,E JOHN ST,204,311081,"E JOHN ST, E/O BROADWAY E; TOTAL FLOW; CH(AGG); 27Jun2012 12:15",14473,7657,862,1084,14243,"E JOHN ST, E/O BROADWAY E","311081, 2012-06-27, TOTAL",2012,Y,"E JOHN ST, E/O BROADWAY E",15054.399999999999636,0.964,14512,14500,"(47.61990774700007, -122.32087289199995)",972.867125631905992
65,48100100,N,8477,8TH AVE SW,35,311213,"8TH AVE SW, N/O SW ROXBURY ST; TOTAL FLOW; CH(AGG); 02May2012 11:15",8128,4695,709,686,8477,"8TH AVE SW, N/O SW ROXBURY ST","311213, 2012-05-02, TOTAL",2012,Y,"8TH AVE SW, N/O SW ROXBURY ST",8505,1.002,8522,8500,"(47.52280971300007, -122.34672690899998)",2079.73698286126637
66,19300260,N,4248,28TH AVE W,234,308756,"28TH AVE W, S/O W DRAVUS ST; TOTAL FLOW; CH(AGG); 01Aug2012 10:45",3592,2107,241,347,4248,"28TH AVE W, S/O W DRAVUS ST","308756, 2012-08-01, TOTAL",2012,Y,"28TH AVE W, S/O W DRAVUS ST",3720.599999999999909,1.008,3750,3800,"(47.632304341000065, -122.39300801799999)",5961.547533973072859
