MFG_DATE,PLANT_ID,PRODUCT_ID,ITEMS_PRODUCED,ITEMS_SAMPLED,ITEMS_DEFECTIVE
6/1/16,US1,LAP01,49930,480,9
6/2/16,US1,LAP01,49910,570,10
6/3/16,US1,LAP01,50090,340,6
6/4/16,US1,LAP01,49970,700,13
6/5/16,US1,LAP01,50010,520,9
6/6/16,US1,LAP01,50000,500,9
6/7/16,US1,LAP01,50000,640,12
6/8/16,US1,LAP01,50010,400,7
6/9/16,US1,LAP01,50000,490,9
6/10/16,US1,LAP01,49940,450,8
6/11/16,US1,LAP01,49930,570,10
6/12/16,US1,LAP01,49990,820,15
6/13/16,US1,LAP01,49980,490,9
6/14/16,US1,LAP01,50040,650,12
6/15/16,US1,LAP01,49900,310,6
6/16/16,US1,LAP01,50000,340,6
6/17/16,US1,LAP01,49920,340,6
6/18/16,US1,LAP01,49890,490,9
6/19/16,US1,LAP01,50030,580,10
6/20/16,US1,LAP01,49920,490,9
6/21/16,US1,LAP01,50010,480,9
6/22/16,US1,LAP01,49990,560,10
6/23/16,US1,LAP01,49960,310,6
6/24/16,US1,LAP01,50000,510,9
6/25/16,US1,LAP01,49930,500,9
6/26/16,US1,LAP01,49990,590,11
6/27/16,US1,LAP01,49980,400,7
6/28/16,US1,LAP01,50000,610,11
6/29/16,US1,LAP01,49940,530,10
6/30/16,US1,LAP01,50010,390,7
7/1/16,US1,LAP01,49920,660,12
7/2/16,US1,LAP01,50010,270,5
7/3/16,US1,LAP01,50020,600,11
7/4/16,US1,LAP01,50030,550,10
7/5/16,US1,LAP01,50010,500,9
7/6/16,US1,LAP01,49960,650,12
7/7/16,US1,LAP01,49980,480,9
7/8/16,US1,LAP01,50060,570,10
7/9/16,US1,LAP01,50030,430,8
7/10/16,US1,LAP01,50010,680,12
7/11/16,US1,LAP01,49960,250,5
7/12/16,US1,LAP01,49960,560,10
7/13/16,US1,LAP01,49930,590,11
7/14/16,US1,LAP01,49950,540,10
7/15/16,US1,LAP01,49880,460,8
7/16/16,US1,LAP01,50040,440,8
7/17/16,US1,LAP01,49940,420,8
7/18/16,US1,LAP01,50020,540,10
7/19/16,US1,LAP01,49920,540,10
7/20/16,US1,LAP01,50020,480,9
7/21/16,US1,LAP01,49900,650,12
7/22/16,US1,LAP01,50050,410,7
7/23/16,US1,LAP01,50060,360,6
7/24/16,US1,LAP01,49970,510,9
7/25/16,US1,LAP01,49980,300,5
7/26/16,US1,LAP01,50020,420,8
7/27/16,US1,LAP01,50070,550,10
7/28/16,US1,LAP01,50030,370,7
7/29/16,US1,LAP01,49940,620,11
7/30/16,US1,LAP01,50030,490,9
7/31/16,US1,LAP01,50080,550,10
8/1/16,US1,LAP01,49980,530,10
8/2/16,US1,LAP01,49880,520,9
8/3/16,US1,LAP01,50000,340,6
8/4/16,US1,LAP01,49970,500,9
8/5/16,US1,LAP01,49970,430,8
8/6/16,US1,LAP01,49860,530,10
8/7/16,US1,LAP01,50020,570,10
8/8/16,US1,LAP01,49990,530,10
8/9/16,US1,LAP01,50000,530,10
8/10/16,US1,LAP01,49950,580,10
8/11/16,US1,LAP01,50080,590,11
8/12/16,US1,LAP01,49960,530,10
8/13/16,US1,LAP01,50010,430,8
8/14/16,US1,LAP01,50060,540,10
8/15/16,US1,LAP01,49950,380,7
8/16/16,US1,LAP01,49940,520,9
8/17/16,US1,LAP01,50000,600,11
8/18/16,US1,LAP01,50010,400,7
8/19/16,US1,LAP01,50030,650,12
8/20/16,US1,LAP01,49960,600,11
8/21/16,US1,LAP01,49930,660,12
8/22/16,US1,LAP01,50010,460,8
8/23/16,US1,LAP01,50030,450,8
8/24/16,US1,LAP01,50000,610,11
8/25/16,US1,LAP01,50020,630,11
8/26/16,US1,LAP01,49970,340,6
8/27/16,US1,LAP01,50000,510,9
8/28/16,US1,LAP01,49970,670,12
8/29/16,US1,LAP01,49910,550,10
8/30/16,US1,LAP01,50000,630,11
8/31/16,US1,LAP01,50080,540,10
9/1/16,US1,LAP01,50000,720,13
9/2/16,US1,LAP01,49970,580,10
9/3/16,US1,LAP01,49960,500,9
9/4/16,US1,LAP01,50060,550,10
9/5/16,US1,LAP01,49910,460,8
9/6/16,US1,LAP01,50000,500,9
9/7/16,US1,LAP01,49920,510,9
9/8/16,US1,LAP01,49990,640,12
9/9/16,US1,LAP01,49940,470,8
9/10/16,US1,LAP01,50000,670,12
9/11/16,US1,LAP01,50000,540,10
9/12/16,US1,LAP01,50030,500,9
9/13/16,US1,LAP01,49970,410,7
9/14/16,US1,LAP01,50020,280,5
9/15/16,US1,LAP01,49970,510,9
9/16/16,US1,LAP01,49990,470,8
9/17/16,US1,LAP01,49990,440,8
9/18/16,US1,LAP01,50070,290,5
9/19/16,US1,LAP01,50030,360,6
9/20/16,US1,LAP01,50030,530,10
9/21/16,US1,LAP01,49970,500,9
9/22/16,US1,LAP01,50090,560,10
9/23/16,US1,LAP01,50030,350,6
9/24/16,US1,LAP01,50050,490,9
9/25/16,US1,LAP01,50020,490,9
9/26/16,US1,LAP01,50110,520,9
9/27/16,US1,LAP01,49930,520,9
9/28/16,US1,LAP01,50030,630,11
9/29/16,US1,LAP01,49990,460,8
9/30/16,US1,LAP01,49940,320,6
10/1/16,US1,LAP01,50020,330,6
10/2/16,US1,LAP01,50010,510,9
10/3/16,US1,LAP01,50080,650,12
10/4/16,US1,LAP01,50030,440,8
10/5/16,US1,LAP01,49940,660,12
10/6/16,US1,LAP01,49970,530,10
10/7/16,US1,LAP01,49990,470,8
10/8/16,US1,LAP01,49960,460,8
10/9/16,US1,LAP01,49910,430,8
10/10/16,US1,LAP01,49980,420,8
10/11/16,US1,LAP01,50020,440,8
10/12/16,US1,LAP01,49920,510,9
10/13/16,US1,LAP01,50010,570,10
10/14/16,US1,LAP01,49970,420,8
10/15/16,US1,LAP01,49950,480,9
10/16/16,US1,LAP01,49900,680,12
10/17/16,US1,LAP01,49960,530,10
10/18/16,US1,LAP01,49930,570,10
10/19/16,US1,LAP01,49980,460,8
10/20/16,US1,LAP01,49990,470,8
10/21/16,US1,LAP01,50020,660,12
10/22/16,US1,LAP01,50020,480,9
10/23/16,US1,LAP01,50040,550,10
10/24/16,US1,LAP01,49970,520,9
10/25/16,US1,LAP01,50000,470,8
10/26/16,US1,LAP01,50040,420,8
10/27/16,US1,LAP01,50020,550,10
10/28/16,US1,LAP01,50010,640,12
10/29/16,US1,LAP01,50080,530,10
10/30/16,US1,LAP01,50020,360,6
10/31/16,US1,LAP01,50000,690,12
11/1/16,US1,LAP01,49990,580,10
11/2/16,US1,LAP01,49970,580,10
11/3/16,US1,LAP01,50050,410,7
11/4/16,US1,LAP01,50080,350,6
11/5/16,US1,LAP01,50060,330,6
11/6/16,US1,LAP01,49960,480,9
11/7/16,US1,LAP01,50020,550,10
11/8/16,US1,LAP01,50080,530,10
11/9/16,US1,LAP01,50040,320,6
11/10/16,US1,LAP01,49980,580,10
11/11/16,US1,LAP01,50000,430,8
11/12/16,US1,LAP01,49970,570,10
11/13/16,US1,LAP01,49930,440,8
11/14/16,US1,LAP01,49920,530,10
11/15/16,US1,LAP01,50010,500,9
11/16/16,US1,LAP01,50010,600,11
11/17/16,US1,LAP01,49970,520,9
11/18/16,US1,LAP01,50020,390,7
11/19/16,US1,LAP01,49950,490,9
11/20/16,US1,LAP01,49960,470,8
11/21/16,US1,LAP01,49990,380,7
11/22/16,US1,LAP01,50030,510,9
11/23/16,US1,LAP01,50070,470,8
11/24/16,US1,LAP01,49910,640,12
11/25/16,US1,LAP01,50080,490,9
11/26/16,US1,LAP01,50000,520,9
11/27/16,US1,LAP01,49990,650,12
11/28/16,US1,LAP01,50050,470,8
11/29/16,US1,LAP01,50060,570,10
11/30/16,US1,LAP01,50080,480,9
12/1/16,US1,LAP01,50040,400,7
12/2/16,US1,LAP01,49980,470,8
12/3/16,US1,LAP01,49960,460,8
12/4/16,US1,LAP01,50030,530,10
12/5/16,US1,LAP01,49970,600,11
12/6/16,US1,LAP01,49960,450,8
12/7/16,US1,LAP01,50040,370,7
12/8/16,US1,LAP01,49990,380,7
12/9/16,US1,LAP01,50010,310,6
12/10/16,US1,LAP01,49880,320,6
12/11/16,US1,LAP01,50010,570,10
12/12/16,US1,LAP01,50040,460,8
12/13/16,US1,LAP01,49920,390,7
12/14/16,US1,LAP01,49970,530,10
12/15/16,US1,LAP01,49990,620,11
12/16/16,US1,LAP01,50070,340,6
12/17/16,US1,LAP01,49980,420,8
12/18/16,US1,LAP01,49960,550,10
12/19/16,US1,LAP01,50070,520,9
12/20/16,US1,LAP01,50020,480,9
12/21/16,US1,LAP01,50050,450,8
12/22/16,US1,LAP01,49930,500,9
12/23/16,US1,LAP01,49920,580,10
12/24/16,US1,LAP01,50010,510,9
12/25/16,US1,LAP01,50020,380,7
12/26/16,US1,LAP01,50010,570,10
12/27/16,US1,LAP01,49970,360,6
12/28/16,US1,LAP01,49940,470,8
12/29/16,US1,LAP01,50020,440,8
12/30/16,US1,LAP01,49880,280,5
12/31/16,US1,LAP01,49980,380,7
1/1/17,US1,LAP01,50050,380,7
1/2/17,US1,LAP01,49980,660,12
1/3/17,US1,LAP01,49930,640,12
1/4/17,US1,LAP01,49940,450,8
1/5/17,US1,LAP01,49940,500,9
1/6/17,US1,LAP01,49920,480,9
1/7/17,US1,LAP01,49880,560,10
1/8/17,US1,LAP01,50030,590,11
1/9/17,US1,LAP01,50000,550,10
1/10/17,US1,LAP01,50020,470,8
1/11/17,US1,LAP01,49930,370,7
1/12/17,US1,LAP01,50000,640,12
1/13/17,US1,LAP01,50010,510,9
1/14/17,US1,LAP01,49990,440,8
1/15/17,US1,LAP01,50000,510,9
1/16/17,US1,LAP01,50030,710,13
1/17/17,US1,LAP01,50030,440,8
1/18/17,US1,LAP01,49970,520,9
1/19/17,US1,LAP01,49970,600,11
1/20/17,US1,LAP01,50020,460,8
1/21/17,US1,LAP01,50100,590,11
1/22/17,US1,LAP01,50080,600,11
1/23/17,US1,LAP01,50010,550,10
1/24/17,US1,LAP01,49890,520,9
1/25/17,US1,LAP01,50010,550,10
1/26/17,US1,LAP01,50060,460,8
1/27/17,US1,LAP01,49960,490,9
1/28/17,US1,LAP01,50080,770,14
1/29/17,US1,LAP01,49920,530,10
1/30/17,US1,LAP01,49890,590,11
1/31/17,US1,LAP01,49920,520,9
2/1/17,US1,LAP01,49930,280,5
2/2/17,US1,LAP01,50050,590,11
2/3/17,US1,LAP01,50100,520,9
2/4/17,US1,LAP01,49950,420,8
2/5/17,US1,LAP01,49960,580,10
2/6/17,US1,LAP01,50020,410,7
2/7/17,US1,LAP01,49960,410,7
2/8/17,US1,LAP01,50000,420,8
2/9/17,US1,LAP01,50020,510,9
2/10/17,US1,LAP01,50050,510,9
2/11/17,US1,LAP01,49950,400,7
2/12/17,US1,LAP01,50090,570,10
2/13/17,US1,LAP01,50030,540,10
2/14/17,US1,LAP01,50080,630,11
2/15/17,US1,LAP01,49920,620,11
2/16/17,US1,LAP01,49980,540,10
2/17/17,US1,LAP01,50100,230,4
2/18/17,US1,LAP01,50050,630,11
2/19/17,US1,LAP01,50040,450,8
2/20/17,US1,LAP01,50020,580,10
2/21/17,US1,LAP01,50130,480,9
2/22/17,US1,LAP01,49980,670,12
2/23/17,US1,LAP01,50110,420,8
2/24/17,US1,LAP01,49980,540,10
2/25/17,US1,LAP01,49990,520,9
2/26/17,US1,LAP01,49980,550,10
2/27/17,US1,LAP01,49990,630,11
2/28/17,US1,LAP01,50020,420,8
3/1/17,US1,LAP01,50040,280,5
3/2/17,US1,LAP01,49960,600,11
3/3/17,US1,LAP01,49990,600,11
3/4/17,US1,LAP01,49940,470,8
3/5/17,US1,LAP01,50070,550,10
3/6/17,US1,LAP01,50020,480,9
3/7/17,US1,LAP01,50100,510,9
3/8/17,US1,LAP01,50010,680,12
3/9/17,US1,LAP01,50040,360,6
3/10/17,US1,LAP01,50040,350,6
3/11/17,US1,LAP01,49940,580,10
3/12/17,US1,LAP01,50070,570,10
3/13/17,US1,LAP01,49920,480,9
3/14/17,US1,LAP01,50020,410,7
3/15/17,US1,LAP01,49920,500,9
3/16/17,US1,LAP01,50030,540,10
3/17/17,US1,LAP01,49910,510,9
3/18/17,US1,LAP01,49970,410,7
3/19/17,US1,LAP01,49960,260,5
3/20/17,US1,LAP01,50110,610,11
3/21/17,US1,LAP01,49990,470,8
3/22/17,US1,LAP01,49960,340,6
3/23/17,US1,LAP01,49930,600,11
3/24/17,US1,LAP01,49930,370,7
3/25/17,US1,LAP01,49940,660,12
3/26/17,US1,LAP01,50020,750,14
3/27/17,US1,LAP01,50020,300,5
3/28/17,US1,LAP01,50010,520,9
3/29/17,US1,LAP01,49860,420,8
3/30/17,US1,LAP01,50010,340,6
3/31/17,US1,LAP01,50050,580,10
4/1/17,US1,LAP01,50020,570,10
4/2/17,US1,LAP01,49970,460,8
4/3/17,US1,LAP01,50010,500,9
4/4/17,US1,LAP01,49970,410,7
4/5/17,US1,LAP01,49950,560,10
4/6/17,US1,LAP01,49950,700,13
4/7/17,US1,LAP01,50000,460,8
4/8/17,US1,LAP01,49940,530,10
4/9/17,US1,LAP01,49960,560,10
4/10/17,US1,LAP01,50000,630,11
4/11/17,US1,LAP01,49990,570,10
4/12/17,US1,LAP01,49980,590,11
4/13/17,US1,LAP01,49970,350,6
4/14/17,US1,LAP01,50060,540,10
4/15/17,US1,LAP01,50070,400,7
4/16/17,US1,LAP01,50060,600,11
4/17/17,US1,LAP01,50020,480,9
4/18/17,US1,LAP01,49970,510,9
4/19/17,US1,LAP01,50000,660,12
4/20/17,US1,LAP01,49940,490,9
4/21/17,US1,LAP01,49970,350,6
4/22/17,US1,LAP01,50010,560,10
4/23/17,US1,LAP01,50050,560,10
4/24/17,US1,LAP01,50030,570,10
4/25/17,US1,LAP01,50030,450,8
4/26/17,US1,LAP01,49960,460,8
4/27/17,US1,LAP01,50080,440,8
4/28/17,US1,LAP01,49900,490,9
4/29/17,US1,LAP01,50020,510,9
4/30/17,US1,LAP01,49900,640,12
5/1/17,US1,LAP01,49980,460,8
5/2/17,US1,LAP01,49980,450,8
5/3/17,US1,LAP01,50020,590,11
5/4/17,US1,LAP01,50050,420,8
5/5/17,US1,LAP01,50010,600,11
5/6/17,US1,LAP01,50030,380,7
5/7/17,US1,LAP01,50010,450,8
5/8/17,US1,LAP01,49980,680,12
5/9/17,US1,LAP01,50060,610,11
5/10/17,US1,LAP01,49950,430,8
5/11/17,US1,LAP01,49990,480,9
5/12/17,US1,LAP01,49980,610,11
5/13/17,US1,LAP01,49950,360,6
5/14/17,US1,LAP01,49940,500,9
5/15/17,US1,LAP01,50030,440,8
5/16/17,US1,LAP01,49890,510,9
5/17/17,US1,LAP01,50070,520,9
5/18/17,US1,LAP01,49990,570,10
5/19/17,US1,LAP01,50020,330,6
5/20/17,US1,LAP01,50050,510,9
5/21/17,US1,LAP01,50030,620,11
5/22/17,US1,LAP01,50070,500,9
5/23/17,US1,LAP01,50020,440,8
5/24/17,US1,LAP01,49990,410,7
5/25/17,US1,LAP01,50020,440,8
5/26/17,US1,LAP01,50010,500,9
5/27/17,US1,LAP01,49970,310,6
5/28/17,US1,LAP01,49950,620,11
5/29/17,US1,LAP01,50030,600,11
5/30/17,US1,LAP01,49930,500,9
5/31/17,US1,LAP01,50010,450,8
6/1/17,US1,LAP01,50010,530,10
6/2/17,US1,LAP01,50030,550,10
6/3/17,US1,LAP01,50000,500,9
6/4/17,US1,LAP01,49970,490,9
6/5/17,US1,LAP01,50060,450,8
6/6/17,US1,LAP01,50030,380,7
6/7/17,US1,LAP01,50040,330,6
6/8/17,US1,LAP01,50020,470,8
6/9/17,US1,LAP01,50000,490,9
6/10/17,US1,LAP01,50010,490,9
6/11/17,US1,LAP01,50040,630,11
6/12/17,US1,LAP01,49990,540,10
6/13/17,US1,LAP01,50000,450,8
6/14/17,US1,LAP01,49980,560,10
6/15/17,US1,LAP01,49980,700,13
6/16/17,US1,LAP01,50000,470,8
6/17/17,US1,LAP01,50060,570,10
6/18/17,US1,LAP01,50060,500,9
6/19/17,US1,LAP01,49930,540,10
6/20/17,US1,LAP01,50040,660,12
6/21/17,US1,LAP01,49920,590,11
6/22/17,US1,LAP01,50050,410,7
6/23/17,US1,LAP01,50040,540,10
6/24/17,US1,LAP01,50010,560,10
6/25/17,US1,LAP01,49990,240,4
6/26/17,US1,LAP01,49940,470,8
6/27/17,US1,LAP01,49970,340,6
6/28/17,US1,LAP01,50010,330,6
6/29/17,US1,LAP01,50060,480,9
6/30/17,US1,LAP01,50000,380,7
7/1/17,US1,LAP01,50100,520,9
7/2/17,US1,LAP01,49970,400,7
7/3/17,US1,LAP01,50050,480,9
7/4/17,US1,LAP01,49970,380,7
7/5/17,US1,LAP01,50090,370,7
7/6/17,US1,LAP01,50040,380,7
7/7/17,US1,LAP01,49990,440,8
7/8/17,US1,LAP01,50020,420,8
7/9/17,US1,LAP01,49950,430,8
7/10/17,US1,LAP01,49950,480,9
7/11/17,US1,LAP01,50040,600,11
7/12/17,US1,LAP01,49910,590,11
7/13/17,US1,LAP01,50110,550,10
7/14/17,US1,LAP01,49970,510,9
7/15/17,US1,LAP01,50060,390,7
7/16/17,US1,LAP01,50070,580,10
7/17/17,US1,LAP01,50000,520,9
7/18/17,US1,LAP01,50000,370,7
7/19/17,US1,LAP01,49960,410,7
7/20/17,US1,LAP01,50070,580,10
7/21/17,US1,LAP01,49990,530,10
7/22/17,US1,LAP01,50110,480,9
7/23/17,US1,LAP01,50060,630,11
7/24/17,US1,LAP01,50000,680,12
7/25/17,US1,LAP01,49990,500,9
7/26/17,US1,LAP01,50020,520,9
7/27/17,US1,LAP01,50040,440,8
7/28/17,US1,LAP01,50000,440,8
7/29/17,US1,LAP01,49940,490,9
7/30/17,US1,LAP01,49990,380,7
7/31/17,US1,LAP01,50000,430,8
8/1/17,US1,LAP01,49970,440,8
8/2/17,US1,LAP01,49980,640,12
8/3/17,US1,LAP01,50010,680,12
8/4/17,US1,LAP01,50060,480,9
8/5/17,US1,LAP01,50040,490,9
8/6/17,US1,LAP01,49980,630,11
8/7/17,US1,LAP01,49990,490,9
8/8/17,US1,LAP01,50030,470,8
8/9/17,US1,LAP01,50080,480,9
8/10/17,US1,LAP01,50040,540,10
8/11/17,US1,LAP01,50040,460,8
8/12/17,US1,LAP01,49950,170,3
8/13/17,US1,LAP01,49990,500,9
8/14/17,US1,LAP01,49920,470,8
8/15/17,US1,LAP01,50010,660,12
8/16/17,US1,LAP01,49990,430,8
8/17/17,US1,LAP01,50020,720,13
8/18/17,US1,LAP01,49950,320,6
8/19/17,US1,LAP01,50020,520,9
8/20/17,US1,LAP01,50020,420,8
8/21/17,US1,LAP01,50020,250,5
8/22/17,US1,LAP01,50070,440,8
8/23/17,US1,LAP01,49990,490,9
8/24/17,US1,LAP01,50050,510,9
8/25/17,US1,LAP01,49900,370,7
8/26/17,US1,LAP01,50060,460,8
8/27/17,US1,LAP01,49960,650,12
8/28/17,US1,LAP01,49880,330,6
8/29/17,US1,LAP01,50040,560,10
8/30/17,US1,LAP01,49980,550,10
8/31/17,US1,LAP01,50030,500,9
9/1/17,US1,LAP01,49880,500,9
9/2/17,US1,LAP01,50000,490,9
9/3/17,US1,LAP01,49970,660,12
9/4/17,US1,LAP01,49970,580,10
9/5/17,US1,LAP01,50060,650,12
9/6/17,US1,LAP01,50010,650,12
9/7/17,US1,LAP01,49950,590,11
9/8/17,US1,LAP01,49970,470,8
9/9/17,US1,LAP01,49930,520,9
9/10/17,US1,LAP01,49990,620,11
9/11/17,US1,LAP01,50080,540,10
9/12/17,US1,LAP01,49950,470,8
9/13/17,US1,LAP01,49950,600,11
9/14/17,US1,LAP01,49930,710,13
9/15/17,US1,LAP01,50050,510,9
9/16/17,US1,LAP01,50060,460,8
9/17/17,US1,LAP01,50020,470,8
9/18/17,US1,LAP01,49980,600,11
9/19/17,US1,LAP01,50010,230,4
9/20/17,US1,LAP01,50010,670,12
9/21/17,US1,LAP01,50020,640,12
9/22/17,US1,LAP01,49960,530,10
9/23/17,US1,LAP01,49990,590,11
9/24/17,US1,LAP01,49990,360,6
9/25/17,US1,LAP01,50030,560,10
9/26/17,US1,LAP01,50040,360,6
9/27/17,US1,LAP01,49970,420,8
9/28/17,US1,LAP01,50040,390,7
9/29/17,US1,LAP01,50060,520,9
9/30/17,US1,LAP01,49940,480,9
10/1/17,US1,LAP01,50070,540,10
10/2/17,US1,LAP01,50020,430,8
10/3/17,US1,LAP01,49930,470,8
10/4/17,US1,LAP01,49940,530,10
10/5/17,US1,LAP01,50050,680,12
10/6/17,US1,LAP01,50020,520,9
10/7/17,US1,LAP01,50070,440,8
10/8/17,US1,LAP01,50040,450,8
10/9/17,US1,LAP01,49960,550,10
10/10/17,US1,LAP01,49980,390,7
10/11/17,US1,LAP01,49920,510,9
10/12/17,US1,LAP01,49950,520,9
10/13/17,US1,LAP01,50040,510,9
10/14/17,US1,LAP01,50010,450,8
10/15/17,US1,LAP01,50010,420,8
10/16/17,US1,LAP01,50020,460,8
10/17/17,US1,LAP01,49990,480,9
10/18/17,US1,LAP01,49960,460,8
10/19/17,US1,LAP01,49980,610,11
10/20/17,US1,LAP01,49980,470,8
10/21/17,US1,LAP01,50020,620,11
