purchase_date|order_status|product_name|quantity|currency|price|promotion_id|discount|city|state|postcode|country|product_code|size
2017-09-30T21:51:37+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|US Core Free Shipping||CHICAGO|IL|60607-4187|US|7|16oz
2017-09-30T21:49:09+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|0.55|CLEVELAND|OHIO|44109-5344|US|7|16oz
2017-09-30T21:46:34+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||EASTHAMPTON|MA|01027-1363|US|7|16oz
2017-09-30T21:41:53+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||LOS ANGELES|CA|90026-2237|US|7|16oz
2017-09-30T21:19:23+00:00|Pending|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|1.1|SANTA CLARA|CA|95050-5858|US|7|16oz
2017-09-30T20:56:44+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||BROOKLINE|MA|02445-5352|US|7|16oz
2017-09-30T20:49:11+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||DENVER|CO|80203-2479|US|7|16oz
2017-09-30T20:48:27+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||SAN ANTONIO|TX|78245-1752|US|7|16oz
2017-09-30T20:43:47+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Cupertino|CA|95014-4745|US|7|16oz
2017-09-30T20:41:11+00:00|Shipped|NonScents Pet Odor Remover Spray|2|USD|35.98|||LODI|CA|95240-6353|US|5|24oz
2017-09-30T20:26:02+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||LOS ANGELES|CA|90045-1903|US|7|16oz
2017-09-30T20:16:46+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Hannibal|MO|63401-2803|US|7|16oz
2017-09-30T20:08:50+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||LAKE WYLIE|SC|29710-9253|US|7|16oz
2017-09-30T20:02:34+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|35.99|||PHILADELPHIA|PA|19106-1859|US|7|16oz
2017-09-30T19:56:47+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||CAMARILLO|CA|93010-6557|US|7|16oz
2017-09-30T18:57:08+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Santa Monica|CA|90403|US|7|16oz
2017-09-30T18:46:07+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||PITTSBURGH|PA|15233-1758|US|7|16oz
2017-09-30T18:38:32+00:00|Pending|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount||Columbia|SC|29212|US|7|16oz
2017-09-30T18:18:46+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||COLUMBUS|OH|43215-2188|US|7|16oz
2017-09-30T18:14:01+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|3|USD|32.97|||Los Gatos|CA|95033|US|7|16oz
2017-09-30T18:08:01+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||DELAWARE|OH|43015-3456|US|7|16oz
2017-09-30T18:03:57+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|1.1|SOUTH BURLINGTON|VT|05403-4418|US|7|16oz
2017-09-30T17:58:04+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||HONOLULU|HI|96818-1275|US|7|16oz
2017-09-30T17:56:47+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||WILSONVILLE|OR|97070-8693|US|7|16oz
2017-09-30T17:47:49+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||MOUNTAIN HOUSE|CA|95391-1434|US|7|16oz
2017-09-30T17:46:27+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Belle Fourche|SD|57717|US|7|16oz
2017-09-30T17:45:07+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||SAN ANTONIO|TX|78260-1457|US|7|16oz
2017-09-30T17:37:55+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Pipe Creek|Tx|78063|US|7|16oz
2017-09-30T17:30:31+00:00|Shipped|NonScents Pet Odor Remover Spray|1|USD|17.99|||Flemington|NJ|08822|US|5|24oz
2017-09-30T17:30:31+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Flemington|NJ|08822|US|7|16oz
2017-09-30T17:27:24+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||ARLINGTON|VA|22209-2514|US|7|16oz
2017-09-30T17:22:51+00:00|Pending|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount||Annandale|VA|22003|US|7|16oz
2017-09-30T17:22:35+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||BROOKLYN|NY|11201-2421|US|7|16oz
2017-09-30T17:21:30+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||DUMFRIES|VA|22026-3052|US|7|16oz
2017-09-30T17:17:50+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Portland|OR|97220|US|7|16oz
2017-09-30T16:54:44+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||KENT|WA|98032-4716|US|7|16oz
2017-09-30T16:47:41+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||WAYNE|PA|19087-2532|US|7|16oz
2017-09-30T16:35:57+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|0.55|Casper|WY|82601-4425|US|7|16oz
2017-09-30T16:33:13+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||SAN DIEGO|CA|92116-1581|US|7|16oz
2017-09-30T16:06:23+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||COLUMBIA|SC|29209-2177|US|7|16oz
2017-09-30T16:03:05+00:00|Pending|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount||Eunice|NM|88231|US|7|16oz
2017-09-30T15:58:25+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||ARLINGTON|VA|22203-1619|US|7|16oz
2017-09-30T15:46:40+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||MORGANVILLE|NJ|07751-1365|US|7|16oz
2017-09-30T15:41:46+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||EVANSVILLE|IN|47715-5964|US|7|16oz
2017-09-30T15:37:06+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||MAITLAND|FL|32751-7518|US|7|16oz
2017-09-30T15:13:28+00:00|Shipped|NonScents Pet Odor Remover Spray|1|USD|17.99|||DUNLAP|IL|61525-9566|US|5|24oz
2017-09-30T15:13:28+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|35.99|||DUNLAP|IL|61525-9566|US|7|16oz
2017-09-30T14:55:24+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||KINGSFORD|MI|49802-5442|US|7|16oz
2017-09-30T14:42:35+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||MCKINNEY|TX|75070-2816|US|7|16oz
2017-09-30T14:28:10+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||SUNNYSIDE|NY|11104-1168|US|7|16oz
2017-09-30T14:16:22+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||DENVER|CO|80218-2928|US|7|16oz
2017-09-30T14:01:42+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||KANSAS CITY|MO|64152-4664|US|7|16oz
2017-09-30T13:59:58+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||CASSELBERRY|FL|32707-7229|US|7|16oz
2017-09-30T13:59:51+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||WASHINGTON|DC|20009-8333|US|7|16oz
2017-09-30T13:53:55+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|2|USD|21.98|||PARAMUS|NJ|07652-3823|US|7|16oz
2017-09-30T13:53:39+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|1.1|PLANTATION|FL|33312-1077|US|7|16oz
2017-09-30T13:42:45+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||FORT MYERS|FL|33967-2968|US|7|16oz
2017-09-30T13:40:42+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||ATLANTA|GA|30324-3834|US|7|16oz
2017-09-30T13:32:37+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||FORT DODGE|IA|50501-3417|US|7|16oz
2017-09-30T13:31:49+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Ponte Vedra Beach|FL|32082-2528|US|7|16oz
2017-09-30T13:30:02+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|0.55|FORT DODGE|IA|50501-3417|US|7|16oz
2017-09-30T13:21:33+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Bedford|NH|03110|US|7|16oz
2017-09-30T13:17:05+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||ANN ARBOR|MI|48103-1871|US|7|16oz
2017-09-30T13:09:53+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||WICHITA|KS|67226-1859|US|7|16oz
2017-09-30T12:50:15+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||COUDERSPORT|PA|16915-1751|US|7|16oz
2017-09-30T12:39:18+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||GREEN BAY|WI|54303-3029|US|7|16oz
2017-09-30T12:35:40+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||HENDERSON|NV|89011-2559|US|7|16oz
2017-09-30T12:01:06+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||BALTIMORE|MD|21211-1501|US|7|16oz
2017-09-30T11:47:03+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||EAST ELMHURST|NY|11370-1910|US|7|16oz
2017-09-30T10:59:49+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|1.1|SARASOTA|FL|34240-1404|US|7|16oz
2017-09-30T10:59:40+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||RICHMOND|VA|23294-5301|US|7|16oz
2017-09-30T10:57:46+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||South Salt Lake|UT|84115-3248|US|7|16oz
2017-09-30T10:56:51+00:00|Pending|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount||PHILADELPHIA|PA|19122-4429|US|7|16oz
2017-09-30T10:30:38+00:00|Pending|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount||Bayamón|Puerto Rico|00959|US|7|16oz
2017-09-30T10:21:28+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|2|USD|21.98|FBA Subscribe & Save Discount|1.1|WHITE BEAR LAKE|MN|55110-6607|US|7|16oz
2017-09-30T09:58:28+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||FORT WORTH|TX|76107-2108|US|7|16oz
2017-09-30T09:56:40+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||Mount Olive|AL|35117|US|7|16oz
2017-09-30T09:54:27+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|1.1|STUDIO CITY|CA|91604-2406|US|7|16oz
2017-09-30T09:10:53+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||KANEOHE|HI|96744-2557|US|7|16oz
2017-09-30T09:07:52+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||QUEENSTOWN|MD|21658-1180|US|7|16oz
2017-09-30T07:56:26+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||LOS ANGELES|CA|90007-4902|US|7|16oz
2017-09-30T07:45:20+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||San Jose|CA|95111-3260|US|7|16oz
2017-09-30T07:17:06+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||SALT LAKE CITY|UT|84102-3913|US|7|16oz
2017-09-30T07:06:18+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|0.55|CHULA VISTA|CA|91915-1217|US|7|16oz
2017-09-30T07:02:40+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||DIAMOND BAR|CA|91765-3493|US|7|16oz
2017-09-30T06:24:05+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||PHOENIX|AZ|85022-2775|US|7|16oz
2017-09-30T06:13:39+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|1.1|WILLIAMSVILLE|NY|14221-6900|US|7|16oz
2017-09-30T06:07:57+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|0.55|CARRBORO|NC|27510-2193|US|7|16oz
2017-09-30T05:38:59+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Orlando|FL|32821|US|7|16oz
2017-09-30T04:52:42+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|3|USD|32.97|||SACRAMENTO|CA|95831-4761|US|7|16oz
2017-09-30T04:44:39+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|2|USD|21.98|||Hartland|VT|05048-9537|US|7|16oz
2017-09-30T04:44:30+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||JACKSONVILLE|FL|32211-4913|US|7|16oz
2017-09-30T04:24:17+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|FBA Subscribe & Save Discount|0.55|Washington|DC|20009|US|7|16oz
2017-09-30T03:39:50+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||LAS VEGAS|NV|89139-6536|US|7|16oz
2017-09-30T03:22:04+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||STOCKTON|CA|95203-2527|US|7|16oz
2017-09-30T03:15:52+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||DALLAS|TX|75204-7918|US|7|16oz
2017-09-30T03:08:43+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Arlington|VA|22204|US|7|16oz
2017-09-30T03:08:42+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||NAPLES|FL|34108-3206|US|7|16oz
2017-09-30T03:01:10+00:00|Cancelled|Nonscents Odor Control Cat Litter Deodorizer|0|USD|0.0|||CARY|NORTH CAROLINA|27518-9081|US|7|16oz
2017-09-30T02:55:28+00:00|Shipped|NonScents Pet Odor Remover Spray|1|USD|13.49|||Los Angeles|Ca|90012|US|5|24oz
2017-09-30T02:55:28+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||Los Angeles|Ca|90012|US|7|16oz
2017-09-30T02:55:05+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||FREMONT|CA|94538-4674|US|7|16oz
2017-09-30T02:44:07+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||WILMINGTON|DE|19805-3161|US|7|16oz
2017-09-30T02:39:19+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||MIAMI SHORES|FL|33138-2125|US|7|16oz
2017-09-30T02:35:24+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|||NASHUA|NH|03063-7008|US|7|16oz
2017-09-30T02:27:38+00:00|Shipped|Nonscents Odor Control Cat Litter Deodorizer|1|USD|10.99|US Core Free Shipping||TORRANCE|CA|90503-3802|US|7|16oz
2017-09-30T02:23:32+00:00|Shipped|NonScents Pet Odor Remover Spray|1|USD|13.49|||SACRAMENTO|CA|95864-2659|US|5|24oz
